County_Key,Volume,Count,State_Code,Average,State_Name
02Matanuska-Susitna,1357673,10992,2,123,ALASKA
02Anchorage,12830755,58584,2,219,ALASKA
02Kenai Peninsula,1693548,14112,2,120,ALASKA
02Kodiak Island,122767,1296,2,94,ALASKA
02Fairbanks North Star,6882215,53736,2,128,ALASKA
02Petersburg,27061,1488,2,18,ALASKA
02Juneau,1699924,11160,2,152,ALASKA
02Haines,21445,1488,2,14,ALASKA
02Skagway,5466,1488,2,3,ALASKA
02Sitka,351653,2976,2,118,ALASKA
02Ketchikan Gateway,534710,4368,2,122,ALASKA
01Jackson,753890,5280,1,142,ALABAMA
01St. Clair,2161852,7200,1,300,ALABAMA
01Dallas,239385,5472,1,43,ALABAMA
01Coffee,69669,768,1,90,ALABAMA
01Monroe,117299,1440,1,81,ALABAMA
01Mobile,10942334,32496,1,336,ALABAMA
01Elmore,462156,2880,1,160,ALABAMA
01Colbert,899632,5760,1,156,ALABAMA
01Jefferson,46634676,83640,1,557,ALABAMA
01Shelby,3590007,10224,1,351,ALABAMA
01Russell,230704,1296,1,178,ALABAMA
01Cleburne,69947,1440,1,48,ALABAMA
01Baldwin,4857037,23616,1,205,ALABAMA
01Barbour,226462,2688,1,84,ALABAMA
01Bullock,31154,1344,1,23,ALABAMA
01Franklin,226558,2784,1,81,ALABAMA
01Fayette,59397,1440,1,41,ALABAMA
01Clarke,304830,3552,1,85,ALABAMA
01Houston,1708595,9168,1,186,ALABAMA
01Crenshaw,103508,1344,1,77,ALABAMA
01Pike,574396,2880,1,199,ALABAMA
01Montgomery,6718586,20256,1,331,ALABAMA
01Autauga,84262,1440,1,58,ALABAMA
01Chambers,1069323,2880,1,371,ALABAMA
01Chilton,1055755,2880,1,366,ALABAMA
01Randolph,138606,1392,1,99,ALABAMA
01Talladega,490999,2880,1,170,ALABAMA
01Morgan,1125460,4176,1,269,ALABAMA
01Limestone,3964341,12960,1,305,ALABAMA
01Etowah,2649959,12240,1,216,ALABAMA
01Lee,1154883,4224,1,273,ALABAMA
01Pickens,171855,2880,1,59,ALABAMA
01Escambia,267818,3504,1,76,ALABAMA
01Sumter,1190283,5664,1,210,ALABAMA
01Blount,713309,3408,1,209,ALABAMA
01Madison,15354671,40368,1,380,ALABAMA
01Tuscaloosa,2540763,9264,1,274,ALABAMA
01Conecuh,453184,2112,1,214,ALABAMA
01Walker,400982,2880,1,139,ALABAMA
01Lauderdale,501191,4176,1,120,ALABAMA
01Cullman,936821,2496,1,375,ALABAMA
01Perry,303949,2784,1,109,ALABAMA
01Washington,237916,2880,1,82,ALABAMA
01Henry,280174,2880,1,97,ALABAMA
01Bibb,210709,2976,1,70,ALABAMA
01Marion,259290,2304,1,112,ALABAMA
01Macon,1169178,2880,1,405,ALABAMA
05Arkansas,1162823,4464,5,260,ARKANSAS
05Boone,338749,2688,5,126,ARKANSAS
05Calhoun,198612,2688,5,73,ARKANSAS
05Carroll,69180,1296,5,53,ARKANSAS
05Clark,455492,1440,5,316,ARKANSAS
05Craighead,819956,4464,5,183,ARKANSAS
05Crawford,1532787,9312,5,164,ARKANSAS
05Crittenden,590581,2976,5,198,ARKANSAS
05Drew,69819,1440,5,48,ARKANSAS
05Faulkner,295117,2976,5,99,ARKANSAS
05Garland,291453,2112,5,137,ARKANSAS
05Grant,41388,1488,5,27,ARKANSAS
05Greene,40750,672,5,60,ARKANSAS
05Hot Spring,944878,3648,5,259,ARKANSAS
05Jefferson,579817,2112,5,274,ARKANSAS
05Johnson,756338,2880,5,262,ARKANSAS
05Lafayette,32216,1440,5,22,ARKANSAS
05Lincoln,167065,2784,5,60,ARKANSAS
05Lonoke,1083015,2976,5,363,ARKANSAS
05Miller,1473627,7968,5,184,ARKANSAS
05Monroe,143815,2544,5,56,ARKANSAS
05Pope,34913,1488,5,23,ARKANSAS
05Pulaski,607922,4464,5,136,ARKANSAS
05Searcy,149349,1440,5,103,ARKANSAS
