County_Key,Volume,Count,State_Code,Average
02Matanuska-Susitna,1992643,10512,2,189
02Anchorage,12923835,55392,2,233
02nan,2237837,36960,2,60
02Kenai Peninsula,1908907,11376,2,167
02Kodiak Island,113120,1008,2,112
02Fairbanks North Star,7495413,51528,2,145
02Petersburg,35822,1440,2,24
02Juneau,1771894,10320,2,171
02Sitka,663619,4176,2,158
02Haines,33502,1440,2,23
02Skagway,12839,1440,2,8
02Ketchikan Gateway,451132,2880,2,156
01Jackson,448370,2784,1,161
01St. Clair,2016853,6960,1,289
01Dallas,178576,4224,1,42
01Coffee,134571,1392,1,96
01Monroe,113320,1392,1,81
01Mobile,9162999,26760,1,342
01Colbert,1059160,5664,1,186
01Jefferson,58309605,104328,1,558
01Shelby,3971179,10512,1,377
01Russell,240309,1344,1,178
01Macon,1266520,4224,1,299
01Cleburne,71573,1392,1,51
01Baldwin,4844553,21432,1,226
01Barbour,299268,2688,1,111
01Bullock,32688,1392,1,23
01Franklin,142769,2784,1,51
01Fayette,58609,1392,1,42
01Montgomery,9719578,28056,1,346
01Clarke,319319,3504,1,91
01Houston,1568012,8256,1,189
01Crenshaw,151688,1344,1,112
01Pike,570543,2784,1,204
01Autauga,81245,1392,1,58
01Chambers,1010977,2784,1,363
01Chilton,1140804,2784,1,409
01Randolph,134882,1296,1,104
01nan,2200654,6264,1,351
01Talladega,546207,2784,1,196
01Marshall,633894,2208,1,287
01Morgan,926778,3312,1,279
01Limestone,7777393,19992,1,389
01Etowah,2455847,10656,1,230
01Lee,1422555,5376,1,264
01Pickens,167792,2784,1,60
01Escambia,331242,4224,1,78
01Madison,12613648,32784,1,384
01Tuscaloosa,2519084,8256,1,305
01Greene,51636,1392,1,37
01Blount,203627,1296,1,157
01Conecuh,616739,2496,1,247
01Walker,543819,4032,1,134
01Lauderdale,451161,3696,1,122
01Cullman,1112124,2400,1,463
01Sumter,532734,2688,1,198
01Perry,336509,2880,1,116
01Elmore,395238,1392,1,283
01Henry,329140,2784,1,118
01Bibb,384670,2592,1,148
05Arkansas,492450,2688,5,183
05Ashley,31820,624,5,50
05Boone,247567,2112,5,117
05Calhoun,209392,2688,5,77
05Carroll,81937,1440,5,56
05Clark,861935,2688,5,320
05Craighead,707478,3552,5,199
05Crawford,1537213,9456,5,162
05Crittenden,561346,2880,5,194
05Drew,71389,1392,5,51
05Faulkner,248197,2304,5,107
05Garland,427529,2880,5,148
05Grant,41527,1392,5,29
05Greene,83589,1392,5,60
05Hot Spring,673162,2976,5,226
05Jefferson,6754761,8256,5,818
05Johnson,693643,2880,5,240
05Lafayette,31876,1392,5,22
05Lawrence,279733,1440,5,194
05Lincoln,174719,2880,5,60
05Lonoke,918006,2496,5,367
05Miller,1265492,7296,5,173
05Monroe,124294,1992,5,62
05Pope,36419,1440,5,25
05Pulaski,8072081,8184,5,986
05Saline,275337,1392,5,197
05Scott,107079,1296,5,82
05Searcy,106826,1008,5,105
05Sebastian,1454665,2880,5,505
05Sharp,53473,1440,5,37
05Union,404509,4224,5,95
05Washington,1036955,2880,5,360
05White,631224,5616,5,112
05Jackson,35494,1248,5,28
05Woodruff,123397,1392,5,88
05Yell,179392,1440,5,124
04Yuma,635252,2064,4,307
04nan,420416387,160416,4,2620
04Maricopa,57699951,30672,4,1881
04La Paz,1336998,9888,4,135
04Pinal,5195721,7344,4,707
04Pima,13360410,15888,4,840
04Yavapai,5094526,11808,4,431
04Santa Cruz,2115512,7056,4,299
04Mohave,2338511,7104,4,329
04Coconino,3076665,10728,4,286
04Navajo,816125,6768,4,120
04Greenlee,9823,1440,4,6
04Cochise,446601,4752,4,93
04Apache,236545,7104,4,33
04Gila,285515,2784,4,102
04Graham,587670,2712,4,216
06Humboldt,4468182,11424,6,391
06nan,5095602,11424,6,446
06Mendocino,393471,2160,6,182
06Lake,94390,720,6,131
06Del Norte,172996,1104,6,156
06Shasta,9761509,16032,6,608
06Tehama,2126227,2880,6,738
06Trinity,142292,1440,6,98
06Lassen,334509,2448,6,136
06Siskiyou,661572,2112,6,313
06Modoc,6640,96,6,69
06Sacramento,72349084,22344,6,3237
06Yolo,6923260,6456,6,1072
06Placer,16966990,10848,6,1564
06Nevada,455421,720,6,632
06Yuba,3381475,4224,6,800
06Sutter,3671203,7176,6,511
06Plumas,672536,4320,6,155
06El Dorado,921026,4272,6,215
06Butte,355553,1440,6,246
06Glenn,358729,1440,6,249
06Solano,1718491,1344,6,1278
06Sonoma,2305788,768,6,3002
06Santa Clara,2790432,1392,6,2004
06San Luis Obispo,6039771,6432,6,939
06Santa Barbara,4261441,1824,6,2336
06Kern,17909435,15168,6,1180
06Kings,1118495,1440,6,776
06Tulare,5319202,6096,6,872
06Fresno,4058068,3120,6,1300
06Madera,1903537,1392,6,1367
06Los Angeles,189587527,41784,6,4537
06Contra Costa,4114657,1296,6,3174
06Ventura,12815692,5328,6,2405
06San Bernardino,4863071,1320,6,3684
06Riverside,3301043,1440,6,2292
06Inyo,2204926,15504,6,142
06Mono,929208,11184,6,83
06Tuolumne,288810,1200,6,240
06San Diego,37272236,10704,6,3482
06Imperial,875543,4320,6,202
06Orange,43260685,8928,6,4845
08Phillips,48343,1392,8,34
08Arapahoe,2497992,4320,8,578
08nan,2366456,1440,8,1643
08Boulder,2710866,2736,8,990
08Kiowa,32115,576,8,55
08Jefferson,4855929,5520,8,879
08Weld,3450167,10992,8,313
08Larimer,4482287,8592,8,521
08El Paso,7483351,12720,8,588
08Eagle,1671105,2880,8,580
08Douglas,8154096,9696,8,840
08Lincoln,342193,4176,8,81
08Mesa,460968,2496,8,184
08Las Animas,300753,1440,8,208
08Broomfield,3316558,1440,8,2303
08Garfield,1824022,5376,8,339
08Kit Carson,290155,2880,8,100
08Logan,338948,4272,8,79
08Summit,1371664,4848,8,282
08Clear Creek,1008713,2496,8,404
08Huerfano,20277,1440,8,14
08Yuma,35566,1440,8,24
08Moffat,184998,2880,8,64
08Gunnison,172054,2880,8,59
08Otero,98913,1440,8,68
08Morgan,48075,1248,8,38
08Grand,13951,1440,8,9
08La Plata,1517718,4320,8,351
08Rio Grande,221290,1440,8,153
08Chaffee,198515,1440,8,137
08Montezuma,282120,2304,8,122
08Teller,598166,2880,8,207
08Routt,321211,2880,8,111
08Rio Blanco,58912,1440,8,40
08Pitkin,493578,1440,8,342
08Alamosa,158548,1440,8,110
08Fremont,74209,1440,8,51
08Pueblo,2310845,5376,8,429
08Costilla,129938,1440,8,90
08Delta,126375,1440,8,87
08Crowley,44096,1440,8,30
08Gilpin,462450,2640,8,175
08Denver,11312248,3984,8,2839
08Adams,14935301,11328,8,1318
08Baca,60733,1152,8,52
09New Haven,3411551,5760,9,592
09nan,24468013,21216,9,1153
09New London,4879034,6480,9,752
09Middlesex,7853279,8352,9,940
09Fairfield,2435295,1440,9,1691
09Windham,1629743,1440,9,1131
10New Castle,18347011,65712,10,279
10Kent,9328031,37632,10,247
10nan,360349,7680,10,46
10Sussex,13057157,65904,10,198
12Charlotte,3139732,8592,12,365
12Citrus,1241041,5760,12,215
12Collier,7991807,21432,12,372
12DeSoto,577588,5760,12,100
12Glades,102101,1392,12,73
12Hendry,906961,5760,12,157
12Hernando,1298059,7200,12,180
12Highlands,385469,3984,12,96
