County_Key,Volume,Count,State_Code,Average
02Matanuska-Susitna,264874,4752,2,55
02Anchorage,13981578,54840,2,254
02nan,2621808,34968,2,74
02Kenai Peninsula,1517261,8568,2,177
02Kodiak Island,194979,1488,2,131
02Fairbanks North Star,7802840,50784,2,153
02Ketchikan Gateway,110695,1248,2,88
01Jackson,773805,5376,1,143
01St. Clair,1943262,6624,1,293
01Dallas,243597,5712,1,42
01Coffee,138848,1440,1,96
01Monroe,113836,1440,1,79
01Mobile,11600791,31800,1,364
01Elmore,476420,2880,1,165
01Colbert,1749606,7272,1,240
01Jefferson,51892753,89904,1,577
01Shelby,4453803,11424,1,389
01Russell,250151,1392,1,179
01Macon,48174,1104,1,43
01Cleburne,73803,1440,1,51
01Baldwin,6089741,23616,1,257
01Barbour,283817,2784,1,101
01Bullock,31823,1392,1,22
01Franklin,266789,2304,1,115
01Fayette,58301,1440,1,40
01Montgomery,10065720,29712,1,338
01Clarke,207835,2376,1,87
01Houston,1489318,8448,1,176
01Crenshaw,149936,1392,1,107
01Pike,585889,2880,1,203
01Autauga,85817,1440,1,59
01Chambers,1047531,2880,1,363
01Chilton,1129963,2784,1,405
01Randolph,141094,1392,1,101
01nan,2082307,4752,1,438
01Talladega,547124,2880,1,189
01Morgan,1202721,4224,1,284
01Limestone,7333358,18624,1,393
01Etowah,2503951,10704,1,233
01Lee,1487725,5760,1,258
01Pickens,170268,2880,1,59
01Escambia,281303,3504,1,80
01Sumter,1116261,5664,1,197
01Madison,12794586,33792,1,378
01Tuscaloosa,2847987,9984,1,285
01Greene,54146,1440,1,37
01Blount,213709,1392,1,153
01Conecuh,693130,2880,1,240
01Lauderdale,492922,4080,1,120
01Cullman,1263347,2880,1,438
01Perry,176923,1488,1,118
01Washington,236709,2880,1,82
01Bibb,0,1296,1,0
01Marion,199582,1824,1,109
05Arkansas,1125909,4320,5,260
05Boone,366536,2880,5,127
05Calhoun,232503,2976,5,78
05Carroll,77543,1392,5,55
05Clark,1019553,2976,5,342
05Craighead,624698,2976,5,209
05Crawford,905324,6672,5,135
05Crittenden,322189,1632,5,197
05Drew,74168,1440,5,51
05Faulkner,201210,1920,5,104
05Garland,427629,2784,5,153
05Grant,40962,1392,5,29
05Greene,52179,816,5,63
05Hempstead,45251,960,5,47
05Hot Spring,1017321,3936,5,258
05Jefferson,563158,2016,5,279
05Johnson,817028,2976,5,274
05Lafayette,31659,1392,5,22
05Lincoln,201245,2976,5,67
05Lonoke,1064981,2976,5,357
05Miller,1333251,7488,5,178
05Monroe,166136,2880,5,57
05nan,395901,2976,5,133
05Pope,38333,1488,5,25
05Pulaski,3691376,9432,5,391
05Saline,267950,1440,5,186
05Scott,123973,1488,5,83
05Searcy,164768,1488,5,110
05Sebastian,1468622,2976,5,493
05Sharp,53869,1488,5,36
05Union,415706,4368,5,95
05Washington,1041227,2880,5,361
05White,406446,3600,5,112
05Jackson,45240,1488,5,30
05Woodruff,81641,864,5,94
05Yell,224437,2784,5,80
04Yuma,578952,1488,4,389
04nan,384365333,154104,4,2494
04Maricopa,46330724,26760,4,1731
04La Paz,1141256,8640,4,132
04Pinal,4793088,7776,4,616
04Pima,8959120,13248,4,676
04Cochise,715972,6528,4,109
04Yavapai,3462565,8928,4,387
04Santa Cruz,1895700,7248,4,261
04Mohave,1585842,5808,4,273
04Coconino,2819241,9168,4,307
04Navajo,884918,5904,4,149
04Gila,498375,2832,4,175
04Apache,269030,7344,4,36
04Graham,592447,2928,4,202
06Humboldt,6173564,14136,6,436
06nan,5945331,12144,6,489
06Mendocino,1400228,5208,6,268
06Lake,376195,1488,6,252
06Del Norte,303340,1488,6,203
06Lassen,626030,4416,6,141
06Shasta,11966323,20520,6,583
06Tehama,2430915,2976,6,816
06Trinity,183693,1488,6,123
06Siskiyou,1590699,3720,6,427
06Modoc,96888,1488,6,65
06Sacramento,86722019,28560,6,3036
06Yolo,8985243,7320,6,1227
06Placer,15835724,12840,6,1233
06Butte,2349529,2976,6,789
06Nevada,799110,1488,6,537
06Yuba,3642069,4464,6,815
06Sutter,2287727,3960,6,577
06Plumas,1097571,4464,6,245
06Glenn,369648,1488,6,248
06El Dorado,173635,1488,6,116
06Solano,7177372,4464,6,1607
06Sonoma,1887274,648,6,2912
06Santa Clara,7841493,4464,6,1756
06Contra Costa,11044793,3216,6,3434
06San Mateo,14955339,4464,6,3350
06Napa,1265505,1488,6,850
06San Luis Obispo,8584160,8184,6,1048
06Santa Barbara,8774715,3648,6,2405
06Monterey,927578,1488,6,623
06Kern,25028426,17688,6,1414
06Kings,2352288,2976,6,790
06Tulare,5850132,6192,6,944
06Fresno,9194476,1824,6,5040
06Madera,4005063,2976,6,1345
06Los Angeles,142158108,33840,6,4200
06Ventura,12902428,5184,6,2488
06San Bernardino,9948012,7440,6,1337
06Riverside,7107626,4248,6,1673
06Inyo,3031333,15936,6,190
06Mono,1723396,11304,6,152
06Merced,2478787,3720,6,666
06San Joaquin,5820973,4128,6,1410
06Stanislaus,3514761,1488,6,2362
06Tuolumne,449951,1488,6,302
06San Diego,38694045,13008,6,2974
06Imperial,2284953,8928,6,255
06Orange,64593780,12840,6,5030
08Phillips,41385,1104,8,37
08Arapahoe,2812794,4464,8,630
08nan,2643926,1488,8,1776
08Boulder,2670634,2544,8,1049
08Kiowa,75238,1200,8,62
08Jefferson,6914597,5904,8,1171
08Weld,3628276,10320,8,351
08Larimer,5527148,8208,8,673
08El Paso,8291176,13152,8,630
08Eagle,2028969,2784,8,728
08Douglas,8959984,9360,8,957
08Lincoln,408158,3696,8,110
08Mesa,627245,2976,8,210
08Las Animas,246200,912,8,269
08Broomfield,3805153,1488,8,2557
08Kit Carson,347798,2256,8,154
08Logan,398347,3792,8,105
08Summit,1912298,5424,8,352
08Clear Creek,1957222,2976,8,657
08Huerfano,27420,1488,8,18
08Yuma,36104,1440,8,25
08Moffat,203080,2688,8,75
08Gunnison,312574,2736,8,114
08Otero,115858,1488,8,77
08Morgan,63872,1488,8,42
08Garfield,1654753,4176,8,396
08Grand,14182,576,8,24
08La Plata,1733909,4464,8,388
08Rio Grande,249676,1392,8,179
08Chaffee,375140,1488,8,252
08Montezuma,373161,2976,8,125
08Teller,865008,2976,8,290
08Rio Blanco,71296,1488,8,47
08Pitkin,643745,1488,8,432
08Alamosa,176648,1440,8,122
08Fremont,128048,1488,8,86
08Pueblo,2246252,5328,8,421
08Costilla,148438,1200,8,123
08Delta,151935,1488,8,102
08Crowley,46913,1488,8,31
08Gilpin,527702,2112,8,249
08Routt,156630,1488,8,105
08Adams,16104199,11760,8,1369
08Denver,3316541,1440,8,2303
08Baca,87403,1488,8,58
09New Haven,3735357,5952,9,627
09nan,21313755,20088,9,1061
09New London,5042928,5952,9,847
09Middlesex,9476095,8184,9,1157
09Fairfield,2686259,1488,9,1805
09Windham,2043085,1488,9,1373
10New Castle,18175742,62904,10,288
10Kent,11144218,39432,10,282
10nan,499787,9264,10,53
10Sussex,19049479,67368,10,282
12Charlotte,1932886,5376,12,359
12Citrus,1147336,5952,12,192
12Collier,7003912,22272,12,314
12DeSoto,474894,5952,12,79
12Glades,85496,1488,12,57
12Hendry,822107,5952,12,138
12Hernando,1216090,7440,12,163
12Highlands,362414,4464,12,81
12Hillsborough,10834530,32448,12,333
12Lake,2585384,8016,12,322
12nan,10464590,42216,12,247
12Lee,4160394,10344,12,402
12Manatee,2583006,9936,12,259
12Pasco,3473723,11184,12,310
12Pinellas,4210294,15984,12,263
12Polk,7570600,27120,12,279
12Sarasota,3855036,7440,12,518
12Sumter,2373713,5616,12,422
12Alachua,4030989,15624,12,257
12Baker,83916,1488,12,56
12Bradford,835413,4368,12,191
12Columbia,1628852,10416,12,156
12Dixie,56679,1320,12,42
12Hamilton,880821,5952,12,147
12Lafayette,129471,2976,12,43
12Levy,913350,10128,12,90
12Madison,186466,2016,12,92
12Marion,4480024,11616,12,385
12Suwannee,925209,4368,12,211
12Taylor,54662,1488,12,36
12Bay,2029203,13392,12,151
12Calhoun,524825,5952,12,88
12Escambia,7349940,24048,12,305
12Franklin,99584,1488,12,66
12Gadsden,1384513,10416,12,132
12Gulf,150353,2976,12,50
12Holmes,65031,1488,12,43
12Jackson,1011711,7440,12,135
12Jefferson,199993,4464,12,44
12Leon,3774970,16392,12,230
12Liberty,86786,1488,12,58
12Okaloosa,5003904,18528,12,270
12Santa Rosa,539135,5952,12,90
12Wakulla,519740,2976,12,174
12Walton,2946866,10272,12,286
12Washington,944950,6048,12,156
12Brevard,6626784,22248,12,297
12Clay,1690438,7440,12,227
12Duval,12632173,27336,12,462
12Flagler,3161761,10368,12,304
12Nassau,2182944,7440,12,293
12Orange,13035172,28272,12,461
12Putnam,857107,5952,12,144
12Seminole,6266664,12384,12,506
12St. Johns,2736794,10224,12,267
12Volusia,5081733,15840,12,320
12Broward,22463085,48432,12,463
12Miami-Dade,31054900,57744,12,537
12Indian River,881548,7440,12,118
12Martin,3562640,10416,12,342
12Monroe,2585862,7296,12,354
12Osceola,3459441,11904,12,290
12Palm Beach,26608313,57528,12,462
12St. Lucie,4108349,19824,12,207
13DeKalb,33367410,49896,13,668
13Fulton,82297164,127176,13,647
13Meriwether,1543688,2976,13,518
13nan,13848664,23808,13,581
13Houston,2798844,11616,13,240
13Troup,3258049,12552,13,259
13Chatham,13264534,38592,13,343
13Camden,3609452,10032,13,359
13Atkinson,238350,5280,13,45
13Lowndes,2489821,8928,13,278
13Clayton,14553369,27192,13,535
13Glynn,3378449,17712,13,190
13Bacon,146265,2976,13,49
13Hart,1877965,7056,13,266
13Barrow,257351,1488,13,172
13Pickens,1543729,8928,13,172
13Bulloch,405272,2496,13,162
13Clarke,3174471,14136,13,224
13Decatur,340184,2880,13,118
13Fannin,687755,4464,13,154
13Floyd,1613262,7104,13,227
13Hall,750246,4464,13,168
13Jenkins,99529,1488,13,66
13Lumpkin,1010642,4464,13,226
13Mitchell,172444,2976,13,57
13Thomas,720120,4896,13,147
13Towns,41532,1488,13,27
13Ware,689262,2976,13,231
13Gwinnett,24232904,33288,13,727
13Cobb,14108481,21216,13,664
13Richmond,8087022,20784,13,389
13Butts,2360262,4464,13,528
13Dougherty,498688,2880,13,173
13Bibb,15100616,50088,13,301
13Harris,1165724,2976,13,391
13Catoosa,3023348,4464,13,677
13Haralson,1058424,2976,13,355
13Bartow,2424579,7152,13,339
13McIntosh,1666616,7248,13,229
13Cherokee,120226,1488,13,80
13Forsyth,150065,1200,13,125
13Habersham,39302,1488,13,26
13Oconee,146319,1488,13,98
13Crisp,239756,2976,13,80
13Jeff Davis,221966,2976,13,74
13Brantley,236976,2880,13,82
13Fayette,178899,1440,13,124
13Bryan,2011850,8928,13,225
13Pierce,51479,2976,13,17
13Clinch,180385,2976,13,60
13Laurens,905493,7056,13,128
13Treutlen,568174,2976,13,190
13Montgomery,136243,1488,13,91
13Taliaferro,829749,2976,13,278
13Muscogee,4026258,11904,13,338
13Clay,61694,2976,13,20
13Tift,1436425,6696,13,214
13Douglas,2321079,4464,13,519
13Dade,3971490,9672,13,410
13Jackson,1838625,2784,13,660
13Murray,308266,2976,13,103
13Walton,100403,480,13,209
13Coweta,368814,2976,13,123
13Monroe,450998,1152,13,391
13Liberty,387633,4272,13,90
13Appling,37838,2784,13,13
13Lee,247575,1728,13,143
13Baldwin,283531,1488,13,190
13Ben Hill,101077,1488,13,67
13Gilmer,322944,1488,13,217
13Walker,977968,5376,13,181
13Emanuel,116281,1488,13,78
13Warren,810820,2976,13,272
13Morgan,942741,2976,13,316
15Hawaii,2728329,10824,15,252
15Honolulu,70668775,139560,15,506
15Kauai,3199578,13848,15,231
15Maui,9624327,34128,15,282
15nan,11400821,14592,15,781
19Pottawattamie,2147328,11712,19,183
19Mills,459307,2976,19,154
19Poweshiek,1015133,2976,19,341
19Hamilton,1007452,5472,19,184
19Monona,509461,2976,19,171
19Decatur,486460,4368,19,111
19Cerro Gordo,1741452,11904,19,146
19Iowa,1179142,2976,19,396
19Benton,819725,4464,19,183
19Cass,859100,4368,19,196
19Dallas,1354827,2880,19,470
19Polk,5090351,16080,19,316
19Scott,2841167,10848,19,261
19Cedar,966365,3312,19,291
19Wright,539984,2880,19,187
19Johnson,3481123,11904,19,292
19Plymouth,454932,2976,19,152
19Henry,392313,2784,19,140
19Story,1195041,8640,19,138
19Delaware,168718,2976,19,56
19Clinton,290974,2880,19,101
19Black Hawk,583602,5208,19,112
19Chickasaw,186984,2976,19,62
19Floyd,320510,2976,19,107
19Osceola,126298,2976,19,42
19Hardin,315308,2976,19,105
19Ida,120487,1488,19,80
19Page,74243,1440,19,51
19Webster,187485,1488,19,125
19Davis,130507,2976,19,43
19Clayton,82560,1488,19,55
19Lee,413011,4800,19,86
19Jackson,296812,4416,19,67
19Crawford,103452,1488,19,69
19Greene,290110,4464,19,64
19Buena Vista,109773,1488,19,73
19Palo Alto,104820,1488,19,70
19Lucas,24066,480,19,50
19Marion,411886,2976,19,138
19Dubuque,1183238,6696,19,176
19Howard,111971,1488,19,75
19Wapello,287090,2976,19,96
19Jones,391872,2976,19,131
19Allamakee,75420,1488,19,50
19Calhoun,233530,4272,19,54
19O'Brien,507,720,19,0
19Tama,1304,696,19,1
19Monroe,3023,672,19,4
19Clay,312424,2976,19,104
19Linn,5336112,15792,19,337
19Warren,2212344,4320,19,512
19nan,1038817,3600,19,288
