County_Key,Volume,Count,State_Code,Average
02Matanuska-Susitna,1521591,9408,2,161
02Anchorage,13228751,62544,2,211
02nan,1484365,31656,2,46
02Kenai Peninsula,1476532,11952,2,123
02Kodiak Island,18050,240,2,75
02Fairbanks North Star,5744719,45960,2,124
02Petersburg,25566,1344,2,19
02Juneau,1059705,7800,2,135
02Haines,19631,1344,2,14
02Skagway,5301,1344,2,3
02Sitka,323547,2688,2,120
02Ketchikan Gateway,386781,2736,2,141
01Jackson,301027,2208,1,136
01St. Clair,1673255,6480,1,258
01Coffee,116441,1200,1,97
01Monroe,109798,1296,1,84
01Mobile,4960438,18048,1,274
01Elmore,454618,2592,1,175
01Colbert,1606902,7512,1,213
01Jefferson,29700294,59832,1,496
01Dallas,128882,3696,1,34
01Shelby,3096735,9072,1,341
01Russell,180227,1104,1,163
01Macon,1070360,3792,1,282
01Cleburne,61993,1296,1,47
01Baldwin,4846472,22008,1,220
01Barbour,186389,2400,1,77
01Bullock,18974,816,1,23
01Franklin,220252,2400,1,91
01Fayette,49528,1296,1,38
01Montgomery,7704441,23232,1,331
01Clarke,305256,3240,1,94
01Houston,1658032,8208,1,202
01Crenshaw,107207,1200,1,89
01Pike,405656,2016,1,201
01Autauga,68030,1296,1,52
01Chambers,856476,2592,1,330
01Chilton,875239,2592,1,337
01Randolph,110281,1152,1,95
01nan,1799481,5544,1,324
01Talladega,463481,2592,1,178
01Marshall,517329,2016,1,256
01Morgan,845039,3648,1,231
01Etowah,2180509,10944,1,199
01Lee,1334869,5088,1,262
01Pickens,137458,2496,1,55
01Escambia,1019253,5856,1,174
01Madison,9750469,29040,1,335
01Limestone,3662553,10800,1,339
01Tuscaloosa,1783224,6240,1,285
01Greene,46837,1296,1,36
01Blount,162834,1248,1,130
01Calhoun,298706,1632,1,183
01Conecuh,474458,2208,1,214
01Walker,455830,3744,1,121
01Lauderdale,376378,3648,1,103
01Cullman,953818,2592,1,367
01Sumter,423929,2304,1,183
01Perry,255907,2496,1,102
01Washington,215801,2592,1,83
01Henry,212436,2400,1,88
01Bibb,321356,2400,1,133
01Marion,226803,2496,1,90
01Dale,487787,2592,1,188
05Arkansas,764614,3144,5,243
05Ashley,56386,1296,5,43
05Boone,215672,2688,5,80
05Calhoun,160797,2688,5,59
05Carroll,63408,1344,5,47
05Clark,630505,2400,5,262
05Craighead,546983,3312,5,165
05Crawford,348984,3696,5,94
05Crittenden,124072,768,5,161
05Drew,16265,432,5,37
05Faulkner,222451,2688,5,82
05Grant,21732,960,5,22
05Greene,61639,1344,5,45
05Hempstead,48134,1104,5,43
05Hot Spring,843881,3984,5,211
05Jefferson,1044195,5376,5,194
05Johnson,534097,2592,5,206
05Lafayette,28133,1344,5,20
05Lawrence,205018,1344,5,152
05Lincoln,139462,2688,5,51
05Lonoke,843459,2592,5,325
05Miller,1009347,6144,5,164
05Monroe,68721,1248,5,55
05Pope,23424,1344,5,17
05Pulaski,379700,3456,5,109
05Saline,214230,1344,5,159
05Scott,89023,1344,5,66
05Searcy,17924,264,5,67
05Sebastian,928558,2688,5,345
05Sharp,37987,1296,5,29
05Union,292601,3456,5,84
05Washington,686594,2304,5,298
05White,497751,5232,5,95
05Jackson,28152,1296,5,21
05Woodruff,58769,720,5,81
05Yell,162068,2688,5,60
04Yuma,732585,1200,4,610
04Maricopa,51738575,23928,4,2162
04La Paz,1028448,4944,4,208
04nan,392729489,142824,4,2749
04Pinal,3768145,6048,4,623
04Pima,10990700,14664,4,749
04Yavapai,4142360,10368,4,399
04Santa Cruz,1514218,5856,4,258
04Mohave,1127716,4656,4,242
04Navajo,593444,5352,4,110
04Greenlee,6680,1224,4,5
04Cochise,682294,6624,4,103
04Coconino,988972,8664,4,114
04Gila,712922,4224,4,168
04Apache,123634,5304,4,23
04Graham,268562,1728,4,155
06Humboldt,3753496,10728,6,349
06nan,4505906,10080,6,447
06Mendocino,761181,3168,6,240
06Lake,393392,1944,6,202
06Del Norte,182723,1200,6,152
06Lassen,341090,2640,6,129
06Shasta,8937954,17952,6,497
06Tehama,1724710,2688,6,641
06Trinity,118023,1344,6,87
06Siskiyou,769418,2472,6,311
06Modoc,67752,1344,6,50
06Sacramento,70881213,24336,6,2912
06Yolo,7242905,6696,6,1081
06Placer,16419342,12888,6,1274
06Butte,2072889,2688,6,771
06Nevada,429227,744,6,576
06Yuba,3016038,3840,6,785
06Sutter,3243677,6720,6,482
06Plumas,710937,3888,6,182
06El Dorado,906340,3984,6,227
06Glenn,311535,1344,6,231
06Solano,5868366,3936,6,1490
06Sonoma,1851719,672,6,2755
06Santa Clara,6243676,4032,6,1548
06Contra Costa,10730820,3360,6,3193
06San Mateo,3142069,1344,6,2337
06Napa,970346,1296,6,748
06San Luis Obispo,5659708,7056,6,802
06Santa Barbara,3857197,2592,6,1488
06Monterey,642176,1344,6,477
06Kern,24631802,18480,6,1332
06Kings,1891797,2688,6,703
06Tulare,6258404,7968,6,785
06Fresno,10480482,4032,6,2599
06Madera,1510153,1344,6,1123
06Los Angeles,150278260,33360,6,4504
06Ventura,3532116,3360,6,1051
06San Bernardino,11088727,7344,6,1509
06Riverside,7072875,4032,6,1754
06Inyo,1996987,12816,6,155
06Mono,700569,9696,6,72
06Merced,1017821,2160,6,471
06San Joaquin,4141911,2688,6,1540
06Stanislaus,2986825,1344,6,2222
06Tuolumne,295790,1344,6,220
06San Diego,33513637,11472,6,2921
06Imperial,2285419,7968,6,286
06Orange,51765376,10464,6,4946
08Phillips,42422,1344,8,31
08Arapahoe,1933695,3504,8,551
08nan,1895788,1344,8,1410
08Boulder,2426496,2688,8,902
08Kiowa,29683,672,8,44
08Jefferson,6478942,6672,8,971
08Weld,2709970,10128,8,267
08Larimer,4045889,8016,8,504
08El Paso,6048021,12000,8,504
08Eagle,1303264,1968,8,662
08Douglas,7146485,9240,8,773
08Lincoln,276940,4032,8,68
08Mesa,389095,2688,8,144
08Las Animas,205683,1344,8,153
08Broomfield,2122370,1008,8,2105
08Garfield,1308701,4656,8,281
08Summit,2707784,6672,8,405
08Kit Carson,212726,2688,8,79
08Logan,246395,3696,8,66
08Clear Creek,1467874,2688,8,546
08Huerfano,13581,1248,8,10
08Yuma,28182,1344,8,20
08Moffat,149777,2688,8,55
08Gunnison,157011,2448,8,64
08Otero,81400,1344,8,60
08Morgan,40577,1344,8,30
08Grand,11655,1344,8,8
08La Plata,1267708,4032,8,314
08Rio Grande,185146,1344,8,137
08Chaffee,165692,1344,8,123
08Montezuma,275023,2688,8,102
08Teller,525779,2688,8,195
08Routt,283826,2400,8,118
08Rio Blanco,48707,1344,8,36
08Pitkin,496794,1344,8,369
08Alamosa,132012,1344,8,98
08Fremont,59375,1344,8,44
08Pueblo,2438542,5376,8,453
08Costilla,98596,1344,8,73
08Delta,105919,1344,8,78
08Crowley,37583,1344,8,27
08Gilpin,242827,1824,8,133
08Denver,6891843,2688,8,2563
08Adams,12500121,10752,8,1162
08Baca,58172,1248,8,46
09New Haven,2607940,5376,9,485
09nan,18146454,18816,9,964
09New London,3765208,6528,9,576
09Middlesex,6289789,8064,9,779
09Fairfield,1805239,1344,9,1343
09Windham,1025461,1344,9,762
11District of Columbia,1115837,4032,11,276
11nan,1191424,672,11,1772
10New Castle,16415509,65280,10,251
10Kent,7704151,36816,10,209
10nan,278910,7440,10,37
10Sussex,9412120,60336,10,155
12Charlotte,3052033,7848,12,388
12Citrus,1140046,5280,12,215
12Collier,8050991,20160,12,399
12DeSoto,555906,5232,12,106
12Glades,105524,1344,12,78
12Hendry,874941,5280,12,165
12Hernando,570155,4032,12,141
12Highlands,405066,4032,12,100
12Hillsborough,11153399,27024,12,412
12Lake,2706691,8064,12,335
12nan,5729538,24864,12,230
12Lee,1596002,4032,12,395
12Manatee,2818355,9360,12,301
12Pasco,2638795,7344,12,359
12Pinellas,4129829,13776,12,299
12Polk,7502431,24720,12,303
12Sarasota,5073183,8040,12,630
12Sumter,2271757,5136,12,442
12Alachua,3651436,13968,12,261
12Baker,75449,1344,12,56
12Bradford,774778,4032,12,192
12Columbia,893577,6936,12,128
12Dixie,59026,1344,12,43
12Hamilton,1060563,6720,12,157
12Lafayette,117367,2688,12,43
12Levy,862655,8760,12,98
12Madison,223136,2256,12,98
12Marion,4510983,12024,12,375
12Suwannee,793106,3888,12,203
12Taylor,55150,1344,12,41
12Bay,1642979,11856,12,138
12Calhoun,450618,5328,12,84
12Escambia,5618246,19920,12,282
12Franklin,79920,1344,12,59
12Gadsden,1242315,9408,12,132
12Gulf,66654,1344,12,49
12Holmes,59490,1344,12,44
12Jackson,1677604,12000,12,139
12Jefferson,178170,4032,12,44
12Leon,3773012,15456,12,244
12Liberty,73356,1344,12,54
12Okaloosa,4704947,17760,12,264
12Santa Rosa,503375,6720,12,74
12Wakulla,461829,2688,12,171
12Walton,2522035,10656,12,236
12Washington,873922,6672,12,130
12Brevard,6156987,18816,12,327
12Clay,1517843,6624,12,229
12Duval,11561974,22704,12,509
12Flagler,2802928,9264,12,302
12Nassau,1852737,6720,12,275
12Orange,12140138,28128,12,431
12Putnam,778248,5184,12,150
12Seminole,5361112,7896,12,678
12St. Johns,2562042,9312,12,275
12Volusia,5153797,14736,12,349
12Broward,23560404,46896,12,502
12Miami-Dade,26141823,50400,12,518
12Indian River,969393,6720,12,144
12Martin,3361450,9048,12,371
12Monroe,2564643,6696,12,383
12Osceola,3196812,10752,12,297
12Palm Beach,26752445,53184,12,503
12St. Lucie,3875755,17784,12,217
13DeKalb,31763856,50400,13,630
13Fulton,61580240,103464,13,595
13Meriwether,1203407,2688,13,447
13nan,9605441,18144,13,529
13Houston,2505716,10752,13,233
13Troup,2588351,11304,13,228
13Chatham,15752233,42144,13,373
13Atkinson,239115,5376,13,44
13Lowndes,2039054,6624,13,307
13Clayton,14144082,26472,13,534
13Glynn,2807195,16464,13,170
13Bacon,133863,2688,13,49
13Hart,1362733,6480,13,210
13Barrow,224339,1344,13,166
13Pickens,742991,5376,13,138
13Bartow,3140842,9408,13,333
13Bulloch,430762,2688,13,160
13Camden,1698966,5280,13,321
13Clarke,2615849,12216,13,214
13Decatur,303275,2688,13,112
13Fannin,447791,3936,13,113
13Floyd,1391244,6672,13,208
13Hall,582263,3456,13,168
13Jenkins,84012,1344,13,62
13Lumpkin,761721,4032,13,188
13Mitchell,158682,2688,13,59
13Thomas,417265,5376,13,77
13Towns,20217,1344,13,15
13Ware,583088,2496,13,233
13Gwinnett,18775569,28320,13,662
13Cobb,6474141,14016,13,461
13Richmond,5594222,14544,13,384
13Butts,2005230,4032,13,497
13Dougherty,455000,2592,13,175
13Bibb,11201036,40224,13,278
13Peach,64704,144,13,449
13Harris,970658,2688,13,361
13Taylor,2487,1344,13,1
13Catoosa,2436845,4032,13,604
13Haralson,137374,480,13,286
13Henry,1275567,3360,13,379
13McIntosh,1380178,6720,13,205
13Cherokee,93410,1296,13,72
13Forsyth,76081,672,13,113
13Habersham,28639,1344,13,21
13Oconee,119904,1344,13,89
13Crisp,209379,2688,13,77
13Jeff Davis,197295,2688,13,73
13Brantley,114875,1440,13,79
13Fayette,163075,1344,13,121
13Bryan,1238864,5952,13,208
13Pierce,45461,2688,13,16
13Clinch,61367,1488,13,41
13Laurens,687490,6720,13,102
13Treutlen,449703,2688,13,167
13Montgomery,123986,1344,13,92
13Taliaferro,635669,2688,13,236
13Muscogee,3156889,9024,13,349
13Douglas,1909921,4032,13,473
13Dade,1475309,4896,13,301
13Jackson,1510213,2688,13,561
13Murray,171052,1584,13,107
13Coweta,317456,2688,13,118
13Monroe,934176,2688,13,347
13Liberty,352109,4032,13,87
13Appling,36973,2688,13,13
13Lee,375305,2688,13,139
13Baldwin,251611,1344,13,187
13Ben Hill,97005,1344,13,72
13Gilmer,244828,1344,13,182
13Walker,857399,5376,13,159
13Emanuel,109306,1344,13,81
13Warren,617742,2688,13,229
13Morgan,620995,2304,13,269
13Tift,1014267,4032,13,251
15Hawaii,2615821,10800,15,242
15Honolulu,63361424,125160,15,506
15Kauai,2911836,12672,15,229
15Maui,8220056,28128,15,292
15nan,10250215,13440,15,762
19Pottawattamie,1401469,10752,19,130
19Mills,272694,2400,19,113
19Poweshiek,573684,2592,19,221
19Hamilton,515748,3840,19,134
19Monona,307660,2688,19,114
19Decatur,332480,4032,19,82
19Cerro Gordo,1237805,10560,19,117
19Iowa,713744,2688,19,265
19Benton,567889,4032,19,140
19Cass,496565,3936,19,126
19Dallas,1127794,5376,19,209
19Polk,5034914,18192,19,276
19Scott,3528930,13344,19,264
19Cedar,913352,3984,19,229
19Wright,399758,5376,19,74
19Johnson,2717259,10656,19,254
19Plymouth,352033,2688,19,130
19Henry,304873,2688,19,113
19Story,1005431,8064,19,124
19Delaware,114775,2640,19,43
19Clinton,84783,864,19,98
19Black Hawk,501112,4704,19,106
19Chickasaw,133865,2688,19,49
19Floyd,216392,2688,19,80
19Osceola,86796,2688,19,32
19Hardin,210028,2688,19,78
19Ida,89034,1344,19,66
19Webster,143249,1344,19,106
19Davis,92661,2688,19,34
19Clayton,57603,1344,19,42
19Lee,256866,3360,19,76
19Crawford,75509,1344,19,56
19Greene,201191,4032,19,49
19Buena Vista,73413,1344,19,54
19Palo Alto,71220,1344,19,52
19Lucas,50013,1296,19,38
19Marion,291419,2688,19,108
19Dubuque,855257,6048,19,141
19Howard,74488,1344,19,55
19Wapello,194996,2592,19,75
19Jones,267635,2688,19,99
19Jackson,15606,1296,19,12
19Allamakee,43742,1344,19,32
19Calhoun,141017,3744,19,37
19Tama,948,672,19,1
19Monroe,2404,648,19,3
19Clay,197568,2688,19,73
19Linn,4437955,14496,19,306
19Warren,2530779,8160,19,310
19nan,877277,3360,19,261
19Dickinson,282102,2688,19,104
19Audubon,112844,2688,19,41
19Marshall,138214,2592,19,53
19Mitchell,118252,2592,19,45
19Fayette,152618,2592,19,58
19Woodbury,356716,2592,19,137
16Kootenai,7560106,32544,16,232
16Ada,30156773,107208,16,281
16Twin Falls,494862,7752,16,63
16Bannock,6497268,43776,16,148
16Nez Perce,323594,3648,16,88
16Gooding,564172,4032,16,139
16Canyon,19462715,64656,16,301
16Bear Lake,122927,5184,16,23
16Bonneville,2432424,16128,16,150
16Lemhi,78344,3840,16,20
16Lincoln,76939,1344,16,57
16Latah,1231850,12096,16,101
16Boundary,219055,4896,16,44
16Cassia,629977,9120,16,69
16Lewis,131712,3360,16,39
16Oneida,464169,5376,16,86
16Adams,156286,3984,16,39
16Bonner,1332602,13824,16,96
16Blaine,360263,2688,16,134
16Fremont,80954,4704,16,17
16Franklin,215852,4032,16,53
16Owyhee,49435,2640,16,18
16Idaho,189303,8064,16,23
16Valley,213066,2688,16,79
16Washington,213620,2640,16,80
16Butte,34587,2688,16,12
16Jefferson,599993,3744,16,160
16Boise,275525,7392,16,37
16Elmore,428874,4032,16,106
16Custer,19219,2688,16,7
16Madison,51323,1344,16,38
16Caribou,106337,2592,16,41
16Teton,407774,4032,16,101
16Bingham,569484,4032,16,141
16Jerome,1036330,5568,16,186
16Power,685442,6720,16,102
16Shoshone,142162,2688,16,52
