County_Key,Volume,Count,State_Code,Average
02Matanuska-Susitna,1646415,12336,2,133
02Anchorage,13931537,67512,2,206
02nan,1664146,34200,2,48
02Kenai Peninsula,1660719,13488,2,123
02Kodiak Island,135192,1488,2,90
02Fairbanks North Star,6138357,52416,2,117
02Petersburg,26060,1440,2,18
02Juneau,1394003,10992,2,126
02Sitka,587439,4416,2,133
02Haines,19062,1440,2,13
02Skagway,5012,1440,2,3
02Ketchikan Gateway,522103,4464,2,116
01Jackson,408096,2880,1,141
01St. Clair,1820466,7056,1,258
01Coffee,104922,1152,1,91
01Monroe,114159,1440,1,79
01Mobile,5383838,18192,1,295
01Elmore,443541,2880,1,154
01Colbert,2050744,9336,1,219
01Jefferson,32853103,63456,1,517
01Dallas,110989,3504,1,31
01Shelby,3323757,10224,1,325
01Macon,1120992,4368,1,256
01Cleburne,591511,3168,1,186
01Baldwin,5109556,25680,1,198
01Barbour,163251,2304,1,70
01Bullock,19836,864,1,22
01Franklin,260746,2880,1,90
01Fayette,57711,1440,1,40
01Clarke,316669,3528,1,89
01Houston,1640705,8976,1,182
01Crenshaw,105793,1296,1,81
01Pike,346501,1824,1,189
01Montgomery,7776226,22560,1,344
01Autauga,73333,1440,1,50
01Chambers,888825,2880,1,308
01Chilton,929724,2880,1,322
01Randolph,130368,1392,1,93
01nan,1740088,5616,1,309
01Talladega,518168,2880,1,179
01Marshall,681865,2688,1,253
01Etowah,2469629,12288,1,200
01Lee,1388162,5664,1,245
01Pickens,156772,2880,1,54
01Escambia,1145143,6816,1,168
01Madison,10867281,30144,1,360
01Limestone,3742459,11160,1,335
01Tuscaloosa,1278893,2784,1,459
01Greene,42593,1200,1,35
01Morgan,102444,1392,1,73
01Blount,189276,1392,1,135
01Conecuh,384153,2112,1,181
01Walker,533966,4320,1,123
01Lauderdale,437398,4080,1,107
01Sumter,452944,2496,1,181
01Perry,293164,2976,1,98
01Washington,241924,2976,1,81
01Henry,243753,2880,1,84
01Bibb,402617,2976,1,135
01Dale,480130,2784,1,172
05Ashley,62606,1344,5,46
05Boone,259818,2976,5,87
05Calhoun,178912,2688,5,66
05Carroll,73741,1488,5,49
05Clark,818048,2976,5,274
05Craighead,633594,3720,5,170
05Crawford,1007957,6672,5,151
05Crittenden,257925,1536,5,167
05Faulkner,229677,2592,5,88
05Grant,37285,1488,5,25
05Greene,76125,1488,5,51
05Hempstead,39819,1248,5,31
05Hot Spring,801911,3792,5,211
05Jefferson,1188852,5760,5,206
05Johnson,401074,1728,5,232
05Lafayette,31525,1440,5,21
05Lawrence,244743,1488,5,164
05Logan,140336,1488,5,94
05Lonoke,915312,2784,5,328
05Miller,1181064,7968,5,148
05Monroe,89324,1488,5,60
05Pope,28287,1488,5,19
05Pulaski,5550655,13800,5,402
05Saline,240103,1440,5,166
05Scott,100990,1488,5,67
05Sebastian,926604,2208,5,419
05Sharp,42683,1344,5,31
05Union,366123,4320,5,84
05Washington,494548,1536,5,321
05White,529885,5568,5,95
05Jackson,34843,1440,5,24
05Woodruff,115846,1488,5,77
05Yell,182834,2928,5,62
04Yuma,898967,1392,4,645
04Maricopa,51094891,27408,4,1864
04La Paz,1408815,6768,4,208
04nan,426762625,165264,4,2582
04Pinal,2537057,5232,4,484
04Pima,10185840,13104,4,777
04Santa Cruz,1105935,4080,4,271
04Mohave,901191,4272,4,210
04Navajo,603411,5568,4,108
04Yavapai,1429351,5760,4,248
04Greenlee,6269,1200,4,5
04Cochise,611636,6576,4,93
04Coconino,769339,8016,4,95
04Gila,657312,4848,4,135
04Apache,110328,5064,4,21
04Graham,627428,2976,4,210
06Humboldt,3269834,10968,6,298
06nan,4895662,11760,6,416
06Mendocino,939962,4680,6,200
06Lake,406386,2136,6,190
06Del Norte,214065,1488,6,143
06Lassen,372567,3264,6,114
06Shasta,9297639,18840,6,493
06Tehama,1859714,2976,6,624
