County_Key,Volume,Count,State_Code,Average
02Matanuska-Susitna,2068358,10272,2,201
02Anchorage,13892486,52944,2,262
02nan,2838297,38136,2,74
02Kenai Peninsula,2545715,12096,2,210
02Kodiak Island,194458,1488,2,130
02Fairbanks North Star,8112933,51984,2,156
02Petersburg,38622,1488,2,25
02Juneau,2051341,11160,2,183
02Haines,44922,1488,2,30
02Skagway,37705,1488,2,25
02Sitka,420688,2976,2,141
02Ketchikan Gateway,665766,4464,2,149
01Jackson,884160,5760,1,153
01St. Clair,1728670,5616,1,307
01Dallas,252657,5712,1,44
01Monroe,114592,1440,1,79
01Mobile,9565650,23280,1,410
01Colbert,925854,5280,1,175
01Jefferson,55091913,93216,1,591
01Shelby,4697546,11472,1,409
01Russell,261685,1440,1,181
01Macon,1264272,3984,1,317
01Cleburne,70687,1440,1,49
01Baldwin,6664984,23472,1,283
01Barbour,362326,2688,1,134
01Bullock,32036,1368,1,23
01Franklin,327229,2880,1,113
01Fayette,59790,1440,1,41
01Montgomery,10770770,30792,1,349
01Clarke,362150,4080,1,88
01Houston,1531712,8544,1,179
01Crenshaw,204161,1440,1,141
01Pike,616315,2880,1,213
01Autauga,90453,1440,1,62
01Chambers,1023366,2592,1,394
01Chilton,1394153,2880,1,484
01Randolph,149709,1440,1,103
01nan,2382212,5040,1,472
01Talladega,585112,2880,1,203
01Morgan,1354033,4320,1,313
01Limestone,6454687,17712,1,364
01Etowah,2497151,11040,1,226
01Lee,1530773,5760,1,265
01Pickens,181732,2880,1,63
01Escambia,352923,4080,1,86
01Sumter,1298631,5664,1,229
01Madison,12735941,34032,1,374
01Tuscaloosa,3113983,9984,1,311
01Greene,55495,1440,1,38
01Blount,228508,1440,1,158
01Calhoun,435622,2304,1,189
01Conecuh,862829,2880,1,299
01Walker,307135,2016,1,152
01Lauderdale,511590,4224,1,121
01Cullman,1438913,2880,1,499
01Perry,242216,2016,1,120
01Elmore,374088,1440,1,259
01Washington,238852,2880,1,82
01Bibb,201587,2880,1,69
05Arkansas,1235464,4368,5,282
05Boone,395971,2784,5,142
05Calhoun,244232,2976,5,82
05Carroll,82549,1488,5,55
05Clark,656765,1728,5,380
05Craighead,815220,4320,5,188
05Crawford,1576941,9264,5,170
05Crittenden,656839,2880,5,228
05Drew,71188,1392,5,51
05Faulkner,175307,1536,5,114
05Garland,482457,2880,5,167
05Grant,40238,1344,5,29
05Greene,95845,1440,5,66
05Hempstead,25353,480,5,52
05Hot Spring,1052399,3840,5,274
05Jefferson,1187657,4704,5,252
05Johnson,754116,2688,5,280
05Lafayette,31671,1296,5,24
