County_Key,Volume,Count,State_Code,Average
02Matanuska-Susitna,2217332,10224,2,216
02Anchorage,12982119,51360,2,252
02nan,2653435,35232,2,75
02Kenai Peninsula,2759609,14928,2,184
02Kodiak Island,189092,1440,2,131
02Fairbanks North Star,7498327,46920,2,159
02Petersburg,41031,1440,2,28
02Juneau,2003199,10800,2,185
02Haines,43501,1440,2,30
02Skagway,33670,1440,2,23
02Sitka,427618,2880,2,148
02Ketchikan Gateway,651584,4320,2,150
01Jackson,597315,4128,1,144
01St. Clair,2168575,6960,1,311
01Dallas,237748,5376,1,44
01Coffee,133592,1392,1,95
01Monroe,110240,1392,1,79
01Mobile,6665630,19584,1,340
01Colbert,1023024,5664,1,180
01Jefferson,52252954,87576,1,596
01Shelby,4393474,10656,1,412
01Russell,232339,1296,1,179
01Macon,700597,2832,1,247
01Cleburne,68855,1392,1,49
01Baldwin,3927666,16704,1,235
01Barbour,340366,2688,1,126
01Bullock,29806,1296,1,22
01Franklin,205785,1824,1,112
01Fayette,58054,1392,1,41
01Montgomery,10269266,29448,1,348
01Clarke,317800,3504,1,90
01Houston,1484314,8160,1,181
01Crenshaw,181215,1296,1,139
01Pike,596143,2784,1,214
01Autauga,86085,1392,1,61
01Chambers,1052465,2784,1,378
01Chilton,1314751,2784,1,472
01Randolph,138411,1344,1,102
01nan,2237160,4872,1,459
01Talladega,570485,2784,1,204
01Morgan,1209825,3888,1,311
01Limestone,6267555,17016,1,368
01Etowah,2531480,10848,1,233
01Lee,1451165,5472,1,265
01Pickens,171571,2784,1,61
01Escambia,306275,3744,1,81
01Sumter,1132754,5184,1,218
01Madison,12549107,32664,1,384
01Tuscaloosa,2558647,9264,1,276
01Greene,54824,1392,1,39
01Blount,209871,1296,1,161
01Calhoun,386722,2016,1,191
01Conecuh,781554,2784,1,280
01Walker,525873,3456,1,152
01Lauderdale,463910,3792,1,122
01Cullman,1325298,2688,1,493
01Perry,343873,2880,1,119
01Elmore,380843,1392,1,273
01Washington,239977,2880,1,83
01Henry,355289,2784,1,127
01Bibb,192758,2688,1,71
05Arkansas,935567,3648,5,256
05Boone,371993,2688,5,138
05Calhoun,231802,2880,5,80
05Carroll,82539,1440,5,57
05Clark,1046211,2880,5,363
05Craighead,780187,4176,5,186
05Crawford,1789812,9984,5,179
05Crittenden,598952,2784,5,215
05Drew,72455,1392,5,52
05Faulkner,201868,1728,5,116
05Garland,233067,1440,5,161
05Grant,45392,1440,5,31
05Greene,88365,1296,5,68
05Hot Spring,990022,3600,5,275
05Jefferson,1332019,5376,5,247
05Johnson,746714,2880,5,259
05Lafayette,32667,1392,5,23
05Lincoln,210933,2880,5,73
05Lonoke,975527,2688,5,362
05Miller,1699569,8064,5,210
05Monroe,83339,1392,5,59
05Pope,39457,1392,5,28
05Pulaski,3834198,9360,5,409
05Saline,260482,1440,5,180
05Scott,119426,1344,5,88
05Searcy,149945,1248,5,120
05Sebastian,1453077,2880,5,504
05Sharp,52772,1440,5,36
05Union,439336,4320,5,101
05Washington,1095562,2880,5,380
05White,561500,4992,5,112
05Jackson,42621,1440,5,29
05Woodruff,134955,1392,5,96
05Yell,195468,2016,5,96
04Yuma,542885,1872,4,290
04nan,137891278,77112,4,1788
04Maricopa,29275515,23280,4,1257
04La Paz,1191747,7296,4,163
04Pinal,4517905,5520,4,818
04Pima,8572623,11160,4,768
04Cochise,574224,4272,4,134
04Yavapai,4158769,9984,4,416
04Santa Cruz,1135949,4320,4,262
04Mohave,1289531,4656,4,276
04Coconino,3212132,9696,4,331
04Navajo,783356,6048,4,129
04Gila,577300,2496,4,231
04Apache,221396,5664,4,39
04Graham,235490,1824,4,129
06Humboldt,5671972,13632,6,416
06nan,4441923,9888,6,449
06Mendocino,1309824,5040,6,259
06Lake,371397,1464,6,253
06Del Norte,268635,1440,6,186
06Lassen,500334,2880,6,173
06Shasta,11395152,19680,6,579
06Tehama,2370225,2880,6,822
06Trinity,161403,1440,6,112
06Siskiyou,1575690,3600,6,437
06Modoc,98771,1440,6,68
06Sacramento,83276155,26496,6,3142
06Yolo,4584033,5496,6,834
06Placer,19939623,13104,6,1521
06Butte,2279362,2880,6,791
06Nevada,125249,192,6,652
06Yuba,3445298,4224,6,815
06Sutter,3759989,7200,6,522
06Plumas,956817,4320,6,221
06El Dorado,378956,1824,6,207
06Glenn,347058,1440,6,241
06Solano,6900906,4320,6,1597
06Sonoma,1545025,528,6,2926
06Santa Clara,7447717,4272,6,1743
06Contra Costa,10051976,2880,6,3490
06San Mateo,14807367,4320,6,3427
06Napa,1212578,1440,6,842
06San Luis Obispo,8474023,7920,6,1069
06Santa Barbara,4396346,2784,6,1579
06Monterey,875668,1440,6,608
06Kern,17054344,15720,6,1084
06Kings,877175,1056,6,830
06Tulare,5197129,6096,6,852
06Fresno,12615566,3504,6,3600
06Madera,2494396,1824,6,1367
06Los Angeles,134406900,29808,6,4509
06Ventura,13099083,5376,6,2436
06San Bernardino,9749284,7200,6,1354
06Riverside,7623973,4272,6,1784
06Inyo,2760908,15504,6,178
06Mono,1437913,10656,6,134
06Merced,2357366,3600,6,654
06San Joaquin,5677534,4272,6,1329
06Stanislaus,3323745,1440,6,2308
06Tuolumne,419706,1440,6,291
06San Diego,42338434,12240,6,3459
06Imperial,2458395,7200,6,341
06Orange,57986368,11376,6,5097
08Phillips,51851,1392,8,37
08nan,2489804,1392,8,1788
08Boulder,2944121,2544,8,1157
08Kiowa,54463,864,8,63
08Jefferson,4946975,4224,8,1171
08Weld,3232927,8160,8,396
08Larimer,4983526,8208,8,607
08El Paso,7940947,12624,8,629
08Eagle,2028643,2832,8,716
08Douglas,9462518,9888,8,956
08Lincoln,418796,3744,8,111
08Mesa,558314,2544,8,219
08Las Animas,362866,1440,8,251
08Broomfield,3564292,1392,8,2560
08Garfield,2105139,4272,8,492
08Arapahoe,1812078,2352,8,770
08Kit Carson,412640,2880,8,143
08Logan,427080,3792,8,112
08Summit,1718175,5232,8,328
08Clear Creek,1669532,2880,8,579
08Huerfano,26117,1440,8,18
08Yuma,39560,1440,8,27
08Moffat,229618,2880,8,79
08Gunnison,282042,2832,8,99
08Otero,112108,1440,8,77
08Morgan,61842,1440,8,42
08Grand,29718,1440,8,20
08La Plata,1663070,4272,8,389
08Rio Grande,260272,1440,8,180
08Chaffee,324636,1440,8,225
08Montezuma,317136,2400,8,132
08Teller,652160,2592,8,251
08Rio Blanco,63771,1296,8,49
08Pitkin,614604,1440,8,426
08Alamosa,176190,1440,8,122
08Fremont,117712,1440,8,81
08Pueblo,3078453,5664,8,543
08Costilla,176171,1440,8,122
08Delta,147409,1440,8,102
08Crowley,45597,1440,8,31
08Gilpin,518455,2832,8,183
08Routt,152842,1440,8,106
08Denver,9266660,2880,8,3217
08Adams,15026594,11280,8,1332
08Baca,88005,1440,8,61
09New Haven,3637730,5760,9,631
09nan,20975934,19632,9,1068
09New London,4657818,5760,9,808
09Middlesex,9138909,7920,9,1153
09Fairfield,2571718,1440,9,1785
09Windham,1740712,1440,9,1208
11.0nan,2855194,1440,11.0,1982
10New Castle,20761336,68088,10,304
10Kent,9262290,33648,10,275
10nan,485884,8688,10,55
10Sussex,15536831,63264,10,245
12Charlotte,2578765,8112,12,317
12Citrus,819463,4176,12,196
12Collier,6879333,21600,12,318
12DeSoto,487766,5760,12,84
12Glades,88473,1440,12,61
12Hendry,798263,5664,12,140
12Hernando,1196833,7200,12,166
12Highlands,365050,4320,12,84
12Hillsborough,9563693,26928,12,355
12Lake,2517676,7200,12,349
12nan,7742216,34224,12,226
12Lee,2641793,6816,12,387
12Manatee,2569442,9912,12,259
12Pasco,2767979,7920,12,349
12Pinellas,4307300,15648,12,275
12Polk,7581694,26496,12,286
12Sarasota,4203044,8064,12,521
12Sumter,2466507,5232,12,471
12Alachua,4124540,15120,12,272
12Baker,81991,1440,12,56
12Bradford,848958,4320,12,196
12Columbia,1038186,7200,12,144
12Dixie,66291,1440,12,46
12Hamilton,1408574,6624,12,212
12Lafayette,133239,2832,12,47
12Levy,982808,10080,12,97
12Madison,261589,2880,12,90
12Marion,4966876,12960,12,383
12Suwannee,983782,4320,12,227
12Taylor,58832,1440,12,40
12Bay,1922314,12240,12,157
12Calhoun,544613,5712,12,95
12Escambia,7888510,24384,12,323
12Franklin,116990,1440,12,81
12Gadsden,1432061,9600,12,149
12Gulf,165051,2880,12,57
12Holmes,60751,1368,12,44
12Jackson,1072224,7104,12,150
12Jefferson,202350,4320,12,46
12Leon,4049861,16560,12,244
12Liberty,93352,1440,12,64
12Okaloosa,5921903,19344,12,306
12Santa Rosa,528701,5760,12,91
12Wakulla,524691,2880,12,182
12Walton,3171409,9888,12,320
12Washington,1140425,7128,12,159
12Brevard,6465605,21456,12,301
