County_Key,Volume,Count,State_Code,Average
02Matanuska-Susitna,1863697,10416,2,178
02Anchorage,14074356,62352,2,225
02nan,1909555,35472,2,53
02Kenai Peninsula,1837749,12864,2,142
02Kodiak Island,54027,528,2,102
02Fairbanks North Star,6866934,50448,2,136
02Petersburg,31152,1488,2,20
02Juneau,1244351,8856,2,140
02Sitka,618710,4320,2,143
02Haines,26630,1488,2,17
02Skagway,8362,1488,2,5
02Ketchikan Gateway,553656,4464,2,124
01Jackson,422031,2688,1,157
01St. Clair,1600089,5616,1,284
01Dallas,228476,5424,1,42
01Coffee,135276,1392,1,97
01Monroe,114448,1392,1,82
01Mobile,7705085,23136,1,333
01Colbert,963501,5664,1,170
01Jefferson,31671415,57912,1,546
01Shelby,3316572,9408,1,352
01Russell,248694,1392,1,178
01Macon,1229021,4320,1,284
01Cleburne,59527,1152,1,51
01Baldwin,2874016,14688,1,195
01Barbour,276148,2880,1,95
01Franklin,207572,2208,1,94
01Fayette,53388,1344,1,39
01Montgomery,6285278,22008,1,285
01Clarke,238852,2640,1,90
01Houston,1387620,6912,1,200
01Crenshaw,134352,1104,1,121
01Pike,394671,1920,1,205
01Autauga,62929,1056,1,59
01Chambers,732684,2112,1,346
01Chilton,1159682,2784,1,416
01Randolph,140986,1392,1,101
01nan,1508602,4320,1,349
01Talladega,497056,2496,1,199
01Marshall,742012,2592,1,286
01Morgan,810453,3264,1,248
01Limestone,4802233,14376,1,334
01Etowah,2683796,11952,1,224
01Lee,1307366,4704,1,277
01Pickens,165909,2784,1,59
01Escambia,78517,1632,1,48
01Madison,10351454,28296,1,365
01Tuscaloosa,2652844,9312,1,284
01Greene,38364,1056,1,36
01Blount,218814,1440,1,151
01Calhoun,502111,2592,1,193
01Conecuh,610394,2592,1,235
01Walker,371704,2736,1,135
01Lauderdale,423344,3744,1,113
01Sumter,553516,2784,1,198
01Perry,318670,2880,1,110
01Elmore,417624,1440,1,290
01Washington,243486,2976,1,81
01Henry,216341,2112,1,102
01Bibb,372161,2592,1,143
01Marion,316604,2784,1,113
01Dale,354262,1824,1,194
05Arkansas,846282,3408,5,248
05Ashley,50613,1104,5,45
05Boone,232723,2208,5,105
05Calhoun,193187,2592,5,74
05Carroll,70896,1392,5,50
05Clark,645262,2016,5,320
05Craighead,592107,3216,5,184
05Crawford,1340432,7632,5,175
05Crittenden,507604,2592,5,195
05Drew,66857,1344,5,49
