County_Key,Volume,Count,State_Code,Average
02Matanuska-Susitna,2152235,11472,2,187
02Anchorage,16666670,68928,2,241
02nan,2666841,38568,2,69
02Kenai Peninsula,2375465,13704,2,173
02Kodiak Island,191564,1488,2,128
02Fairbanks North Star,7873200,53232,2,147
02Petersburg,42500,1488,2,28
02Juneau,2091180,11040,2,189
02Sitka,726790,4416,2,164
02Haines,39547,1488,2,26
02Skagway,26145,1488,2,17
02Ketchikan Gateway,670799,4464,2,150
01Jackson,696215,4656,1,149
01St. Clair,2223354,7200,1,308
01Dallas,188500,4272,1,44
01Coffee,132395,1392,1,95
01Monroe,115896,1440,1,80
01Mobile,10937777,31560,1,346
01Colbert,2155078,8856,1,243
01Jefferson,53888472,97920,1,550
01Shelby,3926768,10704,1,366
01Russell,264436,1440,1,183
01Macon,1335404,4416,1,302
01Cleburne,75237,1440,1,52
01Baldwin,5035926,21432,1,234
01Barbour,328802,2784,1,118
01Bullock,30565,1320,1,23
01Franklin,282715,2880,1,98
01Fayette,58109,1440,1,40
01Montgomery,10597681,30960,1,342
01Clarke,379648,4368,1,86
01Houston,1570777,8448,1,185
01Crenshaw,166463,1392,1,119
01Pike,586667,2880,1,203
01Autauga,88390,1440,1,61
01Chambers,1072706,2880,1,372
01Chilton,1235476,2784,1,443
01Randolph,146861,1392,1,105
01nan,1529071,4320,1,353
01Talladega,571962,2880,1,198
01Marshall,692169,2376,1,291
01Morgan,884261,3360,1,263
01Limestone,7952750,20976,1,379
01Etowah,2674768,11520,1,232
01Lee,1528441,5760,1,265
01Pickens,176725,2880,1,61
01Escambia,170391,2880,1,59
01Sumter,1160778,5568,1,208
01Madison,12546806,34032,1,368
01Tuscaloosa,2775481,10080,1,275
01Greene,55048,1440,1,38
01Blount,232070,1440,1,161
01Calhoun,509936,2688,1,189
01Conecuh,761386,2880,1,264
01Walker,631431,4320,1,146
01Lauderdale,421349,3648,1,115
01Perry,186774,1488,1,125
01Elmore,420290,1440,1,291
01Washington,244120,2976,1,82
01Henry,347984,2880,1,120
01Bibb,370436,2784,1,133
05Arkansas,744214,3312,5,224
05Boone,354624,2784,5,127
05Calhoun,224278,2880,5,77
05Carroll,80116,1392,5,57
05Clark,940151,2784,5,337
05Craighead,733558,3696,5,198
05Crawford,1422684,8208,5,173
05Crittenden,618268,2976,5,207
05Drew,76268,1488,5,51
05Faulkner,290059,2592,5,111
05Garland,310182,2016,5,153
05Grant,43717,1488,5,29
05Greene,91036,1392,5,65
05Hot Spring,1199623,4368,5,274
05Jefferson,1397666,5952,5,234
05Johnson,794118,2976,5,266
05Lafayette,25795,1152,5,22
05Lawrence,129050,624,5,206
05Lincoln,198163,2976,5,66
05Lonoke,957820,2688,5,356
05Miller,1239674,7200,5,172
05Monroe,86836,1392,5,62
05Pope,39719,1488,5,26
05Pulaski,13877521,9576,5,1449
05Saline,234924,1248,5,188
05Scott,121005,1440,5,84
05Searcy,155765,1392,5,111
05Sebastian,1438553,2880,5,499
05Sharp,53114,1488,5,35
05Union,429153,4464,5,96
05Washington,888558,2496,5,355
05White,669372,5856,5,114
05Jackson,46660,1392,5,33
05Woodruff,142201,1488,5,95
05Yell,185214,1488,5,124
04Yuma,540902,1344,4,402
04nan,408503403,161184,4,2534
04Maricopa,61060412,33336,4,1831
04La Paz,1258402,9768,4,128
04Pinal,5215527,7680,4,679
04Pima,8871556,14400,4,616
04Cochise,1019250,7920,4,128
04Yavapai,4950772,11688,4,423
04Santa Cruz,2049898,7152,4,286
04Mohave,1554503,5664,4,274
04Coconino,3176494,12576,4,252
04Navajo,967348,7656,4,126
04Greenlee,10036,1320,4,7
04Gila,523004,3720,4,140
04Apache,247119,6888,4,35
04Graham,617537,2976,4,207
06Humboldt,5533613,13944,6,396
06nan,5394256,11856,6,454
06Mendocino,1258759,5208,6,241
06Lake,471449,2232,6,211
06Del Norte,246072,1488,6,165
06Lassen,536777,3888,6,138
06Shasta,8468942,15984,6,529
06Tehama,2199089,2928,6,751
06Trinity,150914,1440,6,104
06Siskiyou,1312326,3504,6,374
06Modoc,39424,624,6,63
06Sacramento,83242438,26616,6,3127
06Yolo,8751364,7416,6,1180
06Placer,19835845,14088,6,1407
06Butte,2380391,2976,6,799
06Nevada,474618,744,6,637
06Yuba,3557690,4368,6,814
06Sutter,3846346,7440,6,516
06Plumas,776587,4464,6,173
06El Dorado,941485,3120,6,301
06Glenn,367464,1488,6,246
06Solano,6961522,4464,6,1559
06Sonoma,1336776,480,6,2784
06Santa Clara,6757375,4464,6,1513
06Contra Costa,13339365,3984,6,3348
06San Mateo,10421215,3720,6,2801
06Napa,1228818,1488,6,825
06San Luis Obispo,8336134,8184,6,1018
06Santa Barbara,7528458,4032,6,1867
06Monterey,880836,1488,6,591
06Kern,27218269,20784,6,1309
06Kings,1783927,2400,6,743
06Tulare,6732749,8352,6,806
06Fresno,15226231,5352,6,2844
06Madera,3874396,2976,6,1301
06Los Angeles,176184170,39912,6,4414
06Ventura,9951734,5160,6,1928
06San Bernardino,9779841,7440,6,1314
06Riverside,7948199,4464,6,1780
06Inyo,2490799,16272,6,153
06Mono,1066506,10416,6,102
06Merced,2306086,3720,6,619
06San Joaquin,5256743,2688,6,1955
06Stanislaus,3435279,1488,6,2308
06Tuolumne,404077,1488,6,271
06San Diego,42458090,14016,6,3029
06Imperial,2397172,7392,6,324
06Orange,58198634,11568,6,5031
08Phillips,52032,1488,8,34
08Arapahoe,2666194,4416,8,603
08nan,1358273,816,8,1664
08Boulder,2827149,2784,8,1015
08Kiowa,20073,336,8,59
08Jefferson,5017544,5664,8,885
08Weld,3187558,8544,8,373
08Larimer,4272588,8352,8,511
08El Paso,7733492,12960,8,596
08Eagle,1591702,2688,8,592
08Douglas,9555308,10416,8,917
08Lincoln,388972,3792,8,102
08Mesa,537438,2928,8,183
08Las Animas,331124,1488,8,222
08Broomfield,2812143,1200,8,2343
08Garfield,1650047,4752,8,347
08Summit,2119561,6576,8,322
08Kit Carson,369057,2976,8,124
08Logan,391717,4464,8,87
08Clear Creek,1283633,2976,8,431
08Huerfano,22946,1488,8,15
08Yuma,38336,1488,8,25
08Moffat,200073,2976,8,67
08Gunnison,211314,2976,8,71
08Otero,108785,1488,8,73
08Morgan,60144,1488,8,40
08Grand,19876,1488,8,13
08La Plata,1618044,4464,8,362
08Rio Grande,242930,1488,8,163
08Chaffee,255759,1488,8,171
08Montezuma,275389,2160,8,127
08Teller,665854,2976,8,223
08Routt,355563,2976,8,119
08Rio Blanco,62923,1488,8,42
08Pitkin,491019,1488,8,329
08Alamosa,170883,1488,8,114
08Fremont,90787,1488,8,61
08Pueblo,2638203,5664,8,465
08Costilla,156722,1488,8,105
08Delta,137276,1488,8,92
08Crowley,47094,1488,8,31
08Gilpin,509306,2496,8,204
08Denver,8999699,2976,8,3024
08Adams,14940728,11616,8,1286
08Baca,80619,1488,8,54
09New Haven,3666944,5952,9,616
09nan,25450013,21576,9,1179
09New London,5034109,6360,9,791
09Middlesex,10111264,8928,9,1132
09Fairfield,2596621,1488,9,1745
09Windham,1814277,1488,9,1219
11District of Columbia,1646308,2232,11,737
11nan,1376313,744,11,1849
10New Castle,22367012,73512,10,304
10Kent,10075731,37704,10,267
10nan,574009,10416,10,55
10Sussex,15740261,67032,10,234
12Charlotte,2784792,8544,12,325
12Citrus,1208141,5952,12,202
12Collier,7418996,22200,12,334
12DeSoto,560322,5952,12,94
12Glades,98963,1488,12,66
12Hendry,883576,5952,12,148
12Hernando,1301715,7440,12,174
12Highlands,415537,4440,12,93
12Hillsborough,9355066,27696,12,337
12Lake,2557623,7440,12,343
12nan,7736325,34896,12,221
12Lee,1592750,4464,12,356
12Manatee,2654063,9936,12,267
12Pasco,2969581,8736,12,339
12Pinellas,4480624,16176,12,276
12Polk,8067538,27528,12,293
12Sarasota,6007100,11112,12,540
12Sumter,2557193,5568,12,459
12Alachua,4192916,15480,12,270
12Baker,87034,1488,12,58
12Bradford,879340,4440,12,198
12Columbia,773281,6240,12,123
12Dixie,67921,1440,12,47
12Hamilton,1166855,5400,12,216
12Lafayette,133361,2904,12,45
12Levy,844583,7824,12,107
12Madison,294073,2976,12,98
12Marion,5105722,13392,12,381
12Suwannee,997483,4464,12,223
12Taylor,62720,1488,12,42
12Bay,2130502,13320,12,159
12Calhoun,547167,5736,12,95
12Escambia,6153488,20304,12,303
12Franklin,126835,1464,12,86
12Gadsden,1281147,9552,12,134
12Gulf,163928,2952,12,55
12Holmes,62095,1440,12,43
12Jackson,1063386,7200,12,147
12Jefferson,212893,4464,12,47
12Leon,4093839,16968,12,241
12Liberty,93438,1488,12,62
12Okaloosa,5681329,19224,12,295
12Santa Rosa,528956,5856,12,90
12Wakulla,556483,2976,12,186
12Walton,2961681,10176,12,291
12Washington,1115558,7344,12,151
12Brevard,6692780,21744,12,307
12Clay,1688607,7224,12,233
12Duval,13734464,26040,12,527
12Flagler,3304973,10416,12,317
12Nassau,2071254,7104,12,291
12Orange,11440834,24120,12,474
12Putnam,891402,5904,12,150
12Seminole,6849749,12384,12,553
12St. Johns,2902373,10416,12,278
12Volusia,5609657,16032,12,349
12Broward,22989694,49224,12,467
12Miami-Dade,25858474,49992,12,517
12Indian River,925073,7080,12,130
12Martin,3619512,8928,12,405
12Monroe,2671639,7392,12,361
12Osceola,3166878,10560,12,299
12Palm Beach,27783100,58272,12,476
12St. Lucie,4065382,18384,12,221
13DeKalb,34169612,53184,13,642
13Fulton,79204391,122376,13,647
13Meriwether,1659910,2976,13,557
13nan,13916488,23712,13,586
13Houston,2129506,9120,13,233
13Troup,3505603,12648,13,277
13Chatham,16615930,43536,13,381
13Atkinson,289110,5952,13,48
13Lowndes,1329307,4608,13,288
13Clayton,14400160,28368,13,507
13Glynn,3193915,17232,13,185
13Bacon,156172,2976,13,52
13Hart,1931429,7440,13,259
13Barrow,244892,1392,13,175
13Pickens,1549985,8928,13,173
13Bartow,3985302,10032,13,397
13Bulloch,449177,2784,13,161
13Camden,2039811,6144,13,332
13Clarke,2497337,11664,13,214
13Decatur,359834,2976,13,120
13Fannin,683674,4464,13,153
13Floyd,1661369,7248,13,229
13Hall,644414,2976,13,216
13Jenkins,103993,1488,13,69
13Lumpkin,954135,4464,13,213
13Mitchell,179430,2976,13,60
13Thomas,475669,5952,13,79
13Towns,41075,1488,13,27
13Ware,711774,2976,13,239
13Gwinnett,21310721,29640,13,718
13Cobb,16790105,24456,13,686
13Richmond,7620083,18816,13,404
13Butts,2559560,4464,13,573
13Dougherty,496639,2976,13,166
13Bibb,13793291,46248,13,298
13Harris,1209200,2976,13,406
13Taylor,2937,1440,13,2
13Catoosa,2535234,3600,13,704
13Haralson,754470,2016,13,374
13Henry,590663,1440,13,410
13McIntosh,1698788,7440,13,228
13Cherokee,126111,1488,13,84
13Forsyth,189401,1488,13,127
13Habersham,41291,1488,13,27
13Oconee,138370,1440,13,96
13Crisp,260250,2976,13,87
13Jeff Davis,233624,2976,13,78
13Brantley,262169,2976,13,88
13Fayette,196914,1488,13,132
13Bryan,2148703,8928,13,240
13Pierce,54384,2976,13,18
13Clinch,204625,2976,13,68
13Laurens,807002,6864,13,117
13Treutlen,643724,2976,13,216
13Montgomery,137979,1488,13,92
13Taliaferro,890656,2976,13,299
13Muscogee,3707863,10416,13,355
13Douglas,2362721,4464,13,529
