County_Key,Volume,Count,State_Code,Average
02Matanuska-Susitna,99691,5376,2,18
02Anchorage,8285777,40344,2,205
02nan,1615237,32016,2,50
02Kenai Peninsula,1151290,10152,2,113
02Kodiak Island,128504,1296,2,99
02Fairbanks North Star,6053925,47472,2,127
02Ketchikan Gateway,114077,1416,2,80
01Jackson,799568,5568,1,143
01St. Clair,2113107,6960,1,303
01Dallas,245388,5568,1,44
01Coffee,130086,1344,1,96
01Monroe,111940,1392,1,80
01Mobile,10531617,30720,1,342
01Elmore,432345,2736,1,158
01Colbert,882862,5568,1,158
01Jefferson,49631444,90744,1,546
01Shelby,3658634,10416,1,351
01Macon,51159,1104,1,46
01Cleburne,68670,1392,1,49
01Baldwin,4876777,23064,1,211
01Barbour,246302,2784,1,88
01Bullock,32286,1392,1,23
01Franklin,250612,2784,1,90
01Fayette,57553,1392,1,41
01Montgomery,6975614,22488,1,310
01Clarke,362442,4080,1,88
01Houston,1453366,8256,1,176
01Crenshaw,116490,1392,1,83
01Pike,563966,2784,1,202
01Autauga,94604,1392,1,67
01Chambers,1020389,2784,1,366
01Chilton,1044519,2688,1,388
01Randolph,143202,1392,1,102
01nan,1469085,3888,1,377
01Talladega,496767,2784,1,178
01Morgan,1071693,3888,1,275
01Limestone,5288998,15936,1,331
01Etowah,2678717,12384,1,216
01Lee,1324790,5280,1,250
01Pickens,179047,2784,1,64
01Escambia,113708,2208,1,51
01Sumter,1134064,5280,1,214
01Blount,802749,3792,1,211
01Madison,14753035,39192,1,376
01Tuscaloosa,1522209,4416,1,344
01Greene,53786,1392,1,38
01Conecuh,625844,2496,1,250
01Walker,592183,4176,1,141
01Lauderdale,497108,4176,1,119
01Cullman,1141448,2688,1,424
01Perry,346717,2688,1,128
01Washington,239361,2784,1,85
01Henry,278615,2784,1,100
01Bibb,200407,2880,1,69
01Marion,335369,2784,1,120
05Arkansas,1055188,4032,5,261
05Boone,323856,2592,5,124
05Calhoun,162694,2112,5,77
05Carroll,72102,1344,5,53
05Clark,960704,2784,5,345
05Craighead,732174,4032,5,181
05Crawford,1602161,9408,5,170
05Crittenden,576089,2784,5,206
05Drew,59458,1248,5,47
05Faulkner,290921,2784,5,104
05Garland,575663,1728,5,333
05Grant,38003,1392,5,27
05Greene,84586,1344,5,62
05Hot Spring,613212,2736,5,224
05Jefferson,705328,2688,5,262
05Johnson,723553,2592,5,279
05Lafayette,22919,1056,5,21
05Lincoln,166753,2688,5,62
05Lonoke,892320,2592,5,344
05Miller,1572072,8448,5,186
05Monroe,113272,1992,5,56
05nan,360468,2784,5,129
05Pope,38058,1392,5,27
05Pulaski,7869959,5376,5,1463
05Saline,208258,1200,5,173
05Scott,54758,672,5,81
05Searcy,149365,1344,5,111
05Sebastian,1248527,2592,5,481
05Sharp,49353,1392,5,35
05Union,404746,4176,5,96
05Washington,916857,2496,5,367
05White,523711,5040,5,103
05Jackson,41036,1440,5,28
05Woodruff,122676,1344,5,91
05Yell,208164,2736,5,76
04Yuma,629187,1200,4,524
04nan,407697102,168024,4,2426
04Maricopa,56839066,30120,4,1887
04La Paz,1262113,8952,4,140
04Pinal,5181629,8400,4,616
04Pima,4464798,8544,4,522
04Cochise,510003,3600,4,141
04Yavapai,3144401,8160,4,385
04Mohave,1334342,5232,4,255
04Coconino,2748755,11400,4,241
04Navajo,801382,6840,4,117
04Greenlee,4002,600,4,6
04Santa Cruz,633197,2736,4,231
04Apache,206434,6864,4,30
04Gila,456465,2976,4,153
04Graham,394417,2256,4,174
06Humboldt,3899939,10704,6,364
06nan,2012997,8736,6,230
06Mendocino,1132735,4944,6,229
06Lake,345089,1440,6,239
06Del Norte,215095,1440,6,149
06Lassen,256529,2880,6,89
06Shasta,2013335,2736,6,735
06Siskiyou,621011,1440,6,431
06Sacramento,68876112,24336,6,2830
06Yolo,8471014,7704,6,1099
06Placer,5417829,7536,6,718
06Butte,2533369,2880,6,879
06Nevada,724450,1440,6,503
06Sutter,3628462,7176,6,505
06Plumas,688179,4320,6,159
06Glenn,341089,1440,6,236
06Yuba,2962015,2880,6,1028
06El Dorado,122874,1440,6,85
06Solano,6540557,4320,6,1514
06Sonoma,4020181,1320,6,3045
06Santa Clara,7013859,4320,6,1623
06Contra Costa,9470402,2880,6,3288
06San Mateo,13467640,4248,6,3170
06Napa,1140245,1440,6,791
06San Luis Obispo,7643430,7920,6,965
06Santa Barbara,8005400,3696,6,2165
06Monterey,822258,1440,6,571
06Kern,19922090,17808,6,1118
06Kings,2182056,2784,6,783
06Tulare,8368757,9744,6,858
06Fresno,15266648,5664,6,2695
06Madera,3669184,2784,6,1317
06Los Angeles,94199459,22512,6,4184
06Ventura,9888223,4320,6,2288
06San Bernardino,11638723,8592,6,1354
06Riverside,7619913,4248,6,1793
06Inyo,2122991,14304,6,148
06Mono,733089,9744,6,75
06Merced,2249460,3600,6,624
06San Joaquin,4814894,2880,6,1671
06Stanislaus,3317783,1440,6,2304
06Tuolumne,327653,1440,6,227
06San Diego,42288436,14400,6,2936
06Imperial,2412589,8208,6,293
06Orange,58687573,12528,6,4684
08Phillips,47686,1392,8,34
08Arapahoe,1897012,2736,8,693
08nan,1745501,1440,8,1212
08Boulder,2281373,2544,8,896
08Jefferson,8860171,8640,8,1025
08Weld,2813008,7152,8,393
08Larimer,5688971,9984,8,569
08El Paso,6369289,9888,8,644
08Eagle,1596107,2880,8,554
08Douglas,7580904,8832,8,858
08Lincoln,88413,1392,8,63
08Mesa,453697,2880,8,157
08Las Animas,233837,1152,8,202
08Broomfield,3125917,1440,8,2170
08Garfield,1684194,5616,8,299
08Summit,2276041,7080,8,321
08Kit Carson,293920,2640,8,111
08Logan,312746,4224,8,74
08Clear Creek,1343617,2880,8,466
08Huerfano,20291,1440,8,14
08Yuma,32680,1440,8,22
08Moffat,168516,2880,8,58
08Gunnison,169935,2784,8,61
08Otero,95601,1440,8,66
08Morgan,40235,1104,8,36
08Grand,16257,1440,8,11
08La Plata,1314316,3888,8,338
08Rio Grande,211642,1440,8,146
08Chaffee,84495,672,8,125
08Montezuma,309106,2880,8,107
08Teller,560693,2880,8,194
08Routt,260674,2496,8,104
08Rio Blanco,52098,1440,8,36
08Pitkin,484840,1440,8,336
08Alamosa,148669,1440,8,103
08Fremont,70232,1440,8,48
08Pueblo,2732986,5760,8,474
08Costilla,125908,1440,8,87
08Delta,117391,1440,8,81
08Crowley,39686,1440,8,27
08Gilpin,443995,2880,8,154
08Adams,14225327,10656,8,1334
08Denver,2897046,1440,8,2011
08Baca,69602,1344,8,51
09New Haven,3482119,5760,9,604
09nan,18962476,19440,9,975
09New London,5357520,7656,9,699
09Middlesex,8695720,8256,9,1053
09Fairfield,2406128,1440,9,1670
09Windham,1696746,1440,9,1178
11District of Columbia,3873972,4320,11,896
11nan,2621471,4320,11,606
10New Castle,15901914,55536,10,286
10Kent,9374119,38928,10,240
10nan,454987,9024,10,50
10Sussex,10974061,59520,10,184
12Charlotte,2511709,5760,12,436
12Citrus,1189529,5760,12,206
12Collier,7734220,21360,12,362
12DeSoto,525380,5664,12,92
12Glades,70529,1056,12,66
12Hendry,892340,5760,12,154
12Hernando,1301992,7200,12,180
12Highlands,162835,1440,12,113
12Hillsborough,9495677,25872,12,367
12Lake,2971620,8592,12,345
12nan,10557872,42192,12,250
12Lee,4497827,10080,12,446
12Manatee,2749870,10080,12,272
12Pasco,4447748,13536,12,328
12Pinellas,4306933,15672,12,274
12Polk,7960383,26496,12,300
12Sarasota,4169376,7200,12,579
12Alachua,4122686,14208,12,290
12Baker,83669,1392,12,60
12Bradford,901073,4320,12,208
12Columbia,1639819,9672,12,169
12Dixie,62114,1440,12,43
12Hamilton,1354124,7200,12,188
12Lafayette,132496,2880,12,46
12Levy,1027686,9888,12,103
12Madison,255526,2736,12,93
12Marion,4853983,11520,12,421
12Suwannee,992173,4224,12,234
12Taylor,63638,1440,12,44
12Bay,1724718,12672,12,136
12Calhoun,389359,4176,12,93
12Escambia,6771859,23136,12,292
12Franklin,72420,1248,12,58
12Gadsden,1413154,9888,12,142
12Gulf,76284,1440,12,52
12Holmes,59862,1344,12,44
12Jackson,1854495,12768,12,145
12Jefferson,223466,4320,12,51
12Leon,3973012,16560,12,239
12Liberty,81002,1440,12,56
12Okaloosa,3410957,15120,12,225
12Santa Rosa,1947040,10032,12,194
12Wakulla,494009,2832,12,174
12Walton,2528924,10560,12,239
12Washington,991492,6960,12,142
12Brevard,6409418,20016,12,320
12Clay,1532418,6768,12,226
12Duval,12746175,27264,12,467
12Flagler,2885889,9192,12,313
12Nassau,2202862,7200,12,305
12Orange,11432088,24480,12,466
12Putnam,846027,5760,12,146
12Seminole,6789713,12888,12,526
12St. Johns,2647253,9984,12,265
12Volusia,5362948,15696,12,341
12Broward,22374546,47592,12,470
12Miami-Dade,29560253,53952,12,547
12Indian River,933365,7200,12,129
12Martin,3606780,9744,12,370
12Monroe,2279322,6624,12,344
12Osceola,3434344,11472,12,299
12Palm Beach,28013410,57120,12,490
12St. Lucie,4269479,18552,12,230
12Sumter,1254229,2544,12,493
13Fulton,60362504,98184,13,614
13DeKalb,25578569,43824,13,583
13Meriwether,1540295,2880,13,534
13nan,12681423,22752,13,557
13Houston,1694990,6144,13,275
13Troup,3202794,12144,13,263
13Chatham,13766849,37920,13,363
13Camden,4177656,11376,13,367
13Atkinson,269568,5760,13,46
13Lowndes,2765445,8640,13,320
13Clayton,12696089,25176,13,504
13Glynn,1373567,9552,13,143
13Bacon,82533,1632,13,50
13Hart,1822679,7200,13,253
13Barrow,235029,1440,13,163
13Pickens,1479237,8544,13,173
13Bulloch,463512,2880,13,160
13Clarke,2920174,13680,13,213
13Decatur,128062,1056,13,121
13Fannin,634342,4224,13,150
13Hall,694466,4320,13,160
13Jenkins,95763,1440,13,66
13Lumpkin,934272,4320,13,216
13Thomas,179996,2880,13,62
13Towns,31573,1440,13,21
13Gwinnett,20154657,29208,13,690
13Cobb,15117448,22152,13,682
13Richmond,8771783,22200,13,395
13Butts,2432113,4320,13,562
13Dougherty,422554,2496,13,169
13Bibb,13519350,45504,13,297
13Harris,1118801,2784,13,401
13Catoosa,2006069,3024,13,663
13Haralson,1068227,2880,13,370
13Bartow,693705,3744,13,185
13McIntosh,1708363,7200,13,237
13Cherokee,109279,1440,13,75
13Forsyth,174892,1440,13,121
13Habersham,4468,192,13,23
13Oconee,131050,1440,13,91
13Crisp,128325,1632,13,78
13Jeff Davis,225479,2880,13,78
13Brantley,238497,2880,13,82
13Fayette,175746,1440,13,122
13Bryan,1797164,8064,13,222
13Pierce,51579,2880,13,17
13Clinch,178397,2832,13,62
13Laurens,717885,5664,13,126
13Treutlen,543854,2784,13,195
13Montgomery,126653,1440,13,87
13Taliaferro,821320,2784,13,295
13Muscogee,3800026,11520,13,329
13Clay,62632,2880,13,21
13Tift,1521559,6192,13,245
13Douglas,2259621,4320,13,523
13Dade,2032458,5352,13,379
13Jackson,1841286,2784,13,661
13Murray,234272,2208,13,106
13Coweta,360777,2880,13,125
13Monroe,974729,2496,13,390
13Liberty,380227,4320,13,88
13Appling,41711,2880,13,14
13Lee,443428,2880,13,153
13Baldwin,272853,1440,13,189
13Ben Hill,88404,1248,13,70
13Gilmer,279819,1392,13,201
13Walker,973500,5664,13,171
13Floyd,638577,2592,13,246
13Emanuel,107925,1440,13,74
13Morgan,955696,2880,13,331
15Hawaii,3365662,13224,15,254
15Honolulu,66553183,133512,15,498
15Kauai,2813996,12624,15,222
15Maui,8919321,32016,15,278
15nan,11956864,20832,15,573
19Pottawattamie,1755163,11328,19,154
19Mills,387306,2880,19,134
19Poweshiek,795653,2880,19,276
19Hamilton,952414,5760,19,165
19Monona,336380,2400,19,140
19Decatur,404402,3936,19,102
19Cerro Gordo,1534527,11424,19,134
19Iowa,951051,2880,19,330
19Benton,722880,4224,19,171
19Cass,666084,4272,19,155
19Dallas,1388856,5760,19,241
19Scott,3878685,13728,19,282
19Cedar,1156723,4224,19,273
19Wright,517933,5568,19,93
19Warren,3200016,10896,19,293
19Johnson,3017371,10848,19,278
19Plymouth,386329,2880,19,134
19Henry,382758,2880,19,132
19Story,1057848,8256,19,128
19Delaware,143848,2784,19,51
19Clinton,279620,2880,19,97
19Black Hawk,523425,4896,19,106
19Polk,4099915,16104,19,254
19Chickasaw,163922,2880,19,56
19Floyd,267217,2784,19,95
19Osceola,107297,2880,19,37
19Hardin,284964,2880,19,98
19Ida,106669,1440,19,74
19Page,68390,1440,19,47
19Webster,165105,1440,19,114
19Davis,117860,2880,19,40
19Clayton,64803,1392,19,46
19Lee,432711,5472,19,79
19Jackson,248707,4320,19,57
19Crawford,85107,1392,19,61
19Greene,227260,3984,19,57
19Buena Vista,85283,1440,19,59
19Palo Alto,81141,1440,19,56
19Lucas,61706,1392,19,44
19Marion,343818,2880,19,119
19Dubuque,980788,6288,19,155
19Howard,92361,1392,19,66
19Wapello,255379,2880,19,88
19Jones,336078,2880,19,116
19Allamakee,55044,1440,19,38
19Calhoun,210711,4224,19,49
19nan,1195126,8880,19,134
19O'Brien,449,624,19,0
19Tama,1123,624,19,1
19Monroe,2676,672,19,3
19Union,1793,624,19,2
19Clay,212446,2784,19,76
19Linn,4587629,14496,19,316
19Dickinson,259152,2496,19,103
19Audubon,124071,2688,19,46
19Marshall,149041,2688,19,55
19Mitchell,128030,2688,19,47
19Fayette,161991,2688,19,60
19Woodbury,399094,2688,19,148
16Kootenai,8772137,36000,16,243
16Ada,33718916,112560,16,299
16Twin Falls,588186,8904,16,66
16Bannock,6763347,47136,16,143
16Nez Perce,571675,7200,16,79
16Gooding,633622,4320,16,146
16Canyon,21182485,70656,16,299
16Bear Lake,140643,5760,16,24
16Bonneville,2571347,17040,16,150
16Lemhi,91495,4272,16,21
16Lincoln,83872,1392,16,60
16Latah,1303944,12624,16,103
16Boundary,282096,5328,16,52
16Butte,82391,3936,16,20
16Cassia,809917,10080,16,80
16Lewis,152367,3528,16,43
16Oneida,547321,5760,16,95
16Adams,189688,4320,16,43
16Bonner,1522455,16968,16,89
16Blaine,341780,2880,16,118
16Fremont,84625,4872,16,17
16Franklin,241070,4320,16,55
16Owyhee,63805,2880,16,22
16Idaho,199879,7920,16,25
16Valley,201818,2832,16,71
16Washington,257031,2880,16,89
16Jefferson,778898,5760,16,135
16Boise,336926,8592,16,39
16Elmore,505938,4320,16,117
16Custer,22385,2880,16,7
16Madison,58002,1440,16,40
16Caribou,126855,2880,16,44
16Teton,391555,4320,16,90
16Bingham,566929,4032,16,140
16Jerome,2107159,9792,16,215
16Power,739619,6912,16,107
16Shoshone,170525,2784,16,61
16Clark,91767,3744,16,24
16Gem,53698,1344,16,39
16Payette,1505685,10032,16,150
16Benewah,49690,1296,16,38
16nan,1930894,14208,16,135
17Lake,2480626,8544,17,290
17Cook,10257619,12264,17,836
17nan,7198723,6672,17,1078
17DuPage,5142764,6480,17,793
17Kane,15767,768,17,20
17McHenry,204995,1392,17,147
17Will,6205954,7248,17,856
17Henry,83686,1344,17,62
17LaSalle,557297,1008,17,552
17McLean,1556090,3312,17,469
17Kankakee,276660,1392,17,198
17Fulton,314055,2736,17,114
17Warren,109761,1200,17,91
17Tazewell,459609,2496,17,184
17Peoria,843149,2016,17,418
17Macon,709682,2496,17,284
17Clark,107790,240,17,449
17Champaign,414670,864,17,479
17Sangamon,4194213,6240,17,672
17Logan,336479,528,17,637
17Adams,128817,648,17,198
17Morgan,95372,672,17,141
17Effingham,878137,2448,17,358
17Jefferson,417839,624,17,669
17St. Clair,3413972,5880,17,580
17Madison,3091398,4464,17,692
17Jersey,62773,768,17,81
17Massac,338978,576,17,588
17Franklin,75754,1344,17,56
17Jackson,330494,1104,17,299
18Adams,311792,2880,18,108
18Allen,2410745,6096,18,395
18nan,2427675,14016,18,173
18Benton,110465,2880,18,38
18Carroll,133711,1392,18,96
18Cass,39528,1440,18,27
18Clark,1331661,3456,18,385
18Clay,997964,4224,18,236
18Crawford,109043,1392,18,78
18Daviess,194206,1056,18,183
18Dearborn,1174605,5184,18,226
18DeKalb,828167,2880,18,287
18Delaware,1228435,2688,18,457
18Dubois,92724,1056,18,87
18Elkhart,294247,2784,18,105
18Floyd,2311008,4704,18,491
18Gibson,373482,3792,18,98
18Grant,858531,2784,18,308
18Hamilton,1039748,2784,18,373
18Hancock,1042348,2592,18,402
18Huntington,793121,2688,18,295
18Jackson,1047813,2784,18,376
18Jefferson,230355,2784,18,82
18Knox,32651,1200,18,27
18Kosciusko,353613,1440,18,245
18Lake,4983710,9024,18,552
18LaPorte,175072,1920,18,91
18Madison,268897,1344,18,200
18Marion,6006039,15984,18,375
18Marshall,276440,1920,18,143
18Miami,301866,2880,18,104
18Montgomery,66027,1296,18,50
18Morgan,148416,912,18,162
18Posey,335792,2016,18,166
18Ripley,85903,1104,18,77
18St. Joseph,588497,1824,18,322
18Tippecanoe,243986,1440,18,169
18Vanderburgh,1108112,4224,18,262
18Vermillion,518751,2880,18,180
18Warrick,29236,1392,18,21
18Wayne,1134611,2880,18,393
20Hamilton,43025,1440,20,29
20Wallace,15277,1440,20,10
20Sherman,261569,2880,20,90
20Greeley,20167,1440,20,14
20Grant,44104,1440,20,30
20Wichita,35499,1440,20,24
20Thomas,74477,2880,20,25
20Finney,128671,1440,20,89
20Logan,60730,1296,20,46
20Meade,116402,1440,20,80
20Sheridan,22793,1440,20,15
20Gove,9754,1440,20,6
