County_Key,Volume,Count,State_Code,Average
02Matanuska-Susitna,115636,3888,2,29
02Anchorage,12158809,50832,2,239
02nan,2191751,36672,2,59
02Kenai Peninsula,1220681,8664,2,140
02Kodiak Island,157211,1440,2,109
02Fairbanks North Star,7367705,49728,2,148
02Petersburg,34486,1488,2,23
02Juneau,1664421,10584,2,157
02Haines,33297,1488,2,22
02Skagway,8259,1488,2,5
02Sitka,383666,2976,2,128
02Ketchikan Gateway,542055,3936,2,137
01Jackson,808715,5472,1,147
01St. Clair,2242798,7200,1,311
01Dallas,239192,5568,1,42
01Coffee,136285,1392,1,97
01Monroe,117994,1440,1,81
01Mobile,12756759,35880,1,355
01Elmore,473935,2832,1,167
01Colbert,945179,5760,1,164
01Jefferson,58512859,99048,1,590
01Shelby,4469191,11328,1,394
01Russell,270354,1440,1,187
01Macon,60045,1296,1,46
01Cleburne,75370,1440,1,52
01Baldwin,5541375,23568,1,235
01Barbour,280432,2880,1,97
01Bullock,35633,1440,1,24
01Franklin,273913,2880,1,95
01Fayette,62893,1440,1,43
01Montgomery,8178589,27552,1,296
01Clarke,360615,3936,1,91
01Houston,1529494,8640,1,177
01Crenshaw,155056,1440,1,107
01Pike,600751,2880,1,208
01Autauga,91970,1392,1,66
01Chambers,1028501,2880,1,357
01Chilton,1241948,2880,1,431
01Randolph,151327,1440,1,105
01nan,1636145,4320,1,378
01Talladega,534750,2880,1,185
01Morgan,1315010,4320,1,304
01Limestone,7838109,18888,1,414
01Etowah,2924348,12912,1,226
01Lee,1494459,5664,1,263
01Pickens,178700,2880,1,62
01Escambia,122910,2304,1,53
01Sumter,1158051,5760,1,201
01Madison,15988650,41232,1,387
01Tuscaloosa,2917785,9936,1,293
01Greene,55898,1440,1,38
01Blount,231078,1440,1,160
01Conecuh,597305,2400,1,248
01Walker,608355,4320,1,140
01Lauderdale,526894,4224,1,124
01Cullman,1369140,2880,1,475
01Perry,356077,2880,1,123
01Washington,249188,2880,1,86
01Henry,309612,2880,1,107
01Bibb,195126,2976,1,65
01Marion,254272,2208,1,115
05Arkansas,1117050,4320,5,258
05Boone,242983,2112,5,115
05Calhoun,229318,2976,5,77
05Carroll,83108,1440,5,57
05Clark,1001103,2976,5,336
05Craighead,832119,4320,5,192
05Crawford,1748139,9936,5,175
05Crittenden,602579,2976,5,202
05Drew,33869,624,5,54
05Faulkner,314939,2976,5,105
05Garland,443071,2976,5,148
05Grant,44675,1488,5,30
05Greene,45553,624,5,73
05Hot Spring,1197135,4320,5,277
05Jefferson,799989,2976,5,268
05Johnson,804204,2784,5,288
05Lafayette,29910,1344,5,22
05Lincoln,187778,2976,5,63
05Lonoke,999012,2688,5,371
05Miller,1668962,7968,5,209
05Monroe,164563,2736,5,60
05nan,342896,2592,5,132
05Pope,45317,1488,5,30
05Pulaski,3666610,9336,5,392
05Saline,237199,1296,5,183
05Scott,123586,1392,5,88
05Searcy,161135,1440,5,111
05Sebastian,1528676,2976,5,513
05Sharp,56148,1488,5,37
05Union,427420,4416,5,96
05Washington,1134952,2976,5,381
05White,579484,5376,5,107
05Jackson,44437,1344,5,33
05Woodruff,44214,480,5,92
05Yell,242627,2976,5,81
04Yuma,626363,1488,4,420
04nan,404319646,155904,4,2593
04Maricopa,58535430,32664,4,1792
04La Paz,1308143,9648,4,135
04Pinal,3454088,6576,4,525
04Pima,7676504,12096,4,634
04Cochise,550543,4320,4,127
04Santa Cruz,1227060,5184,4,236
04Mohave,1527819,5904,4,258
04Coconino,3205745,11280,4,284
04Navajo,947615,7800,4,121
04Yavapai,2543446,7392,4,344
04Greenlee,3865,528,4,7
04Gila,837326,4896,4,171
04Apache,242186,6936,4,34
04Graham,636947,2976,4,214
06Humboldt,4497184,11544,6,389
06nan,2276577,10032,6,226
06Mendocino,912031,3624,6,251
06Lake,299346,1152,6,259
06Del Norte,243526,1488,6,163
06Lassen,527763,4032,6,130
06Shasta,10218193,17592,6,580
06Tehama,2193341,2880,6,761
06Trinity,155651,1440,6,108
06Siskiyou,1404086,4032,6,348
06Modoc,85937,1392,6,61
06Sacramento,85086217,27864,6,3053
06Yolo,8352036,7272,6,1148
06Placer,6751208,9720,6,694
06Butte,1992446,2640,6,754
