County_Key,Volume,Count,State_Code,Average
02Matanuska-Susitna,188239,4320,2,43
02Anchorage,12504767,51024,2,245
02nan,2516652,36672,2,68
02Kenai Peninsula,1304806,8112,2,160
02Kodiak Island,170428,1392,2,122
02Fairbanks North Star,7544669,51648,2,146
02Petersburg,35880,1440,2,24
02Juneau,1887418,10800,2,174
02Haines,35966,1440,2,24
02Skagway,23228,1440,2,16
02Sitka,378585,2880,2,131
02Ketchikan Gateway,596197,4320,2,138
01Jackson,794637,5472,1,145
01St. Clair,2041601,6960,1,293
01Dallas,246304,5520,1,44
01Coffee,132092,1344,1,98
01Monroe,114567,1392,1,82
01Mobile,11583612,31992,1,362
01Elmore,465273,2784,1,167
01Colbert,617709,4128,1,149
01Jefferson,58229520,103104,1,564
01Shelby,4259479,11136,1,382
01Russell,249667,1344,1,185
01Macon,50400,1104,1,45
01Cleburne,72092,1392,1,51
01Baldwin,3619247,18048,1,200
01Barbour,307371,2784,1,110
01Bullock,32374,1392,1,23
01Franklin,274126,2784,1,98
01Fayette,60340,1392,1,43
01Montgomery,9194691,27048,1,339
01Clarke,305529,3336,1,91
01Houston,1464216,8352,1,175
01Crenshaw,121051,1152,1,105
01Pike,563695,2784,1,202
01Autauga,90772,1392,1,65
01Chambers,1012206,2784,1,363
01Chilton,1131970,2784,1,406
01Randolph,144475,1392,1,103
01nan,2110083,4872,1,433
01Talladega,525082,2784,1,188
01Morgan,1189237,4176,1,284
01Limestone,7416545,19080,1,388
01Etowah,2548831,11088,1,229
01Lee,1412115,5472,1,258
01Pickens,171661,2784,1,61
01Escambia,293288,3696,1,79
01Sumter,1085496,5568,1,194
01Madison,15682689,39744,1,394
01Tuscaloosa,2812171,9744,1,288
01Greene,51631,1392,1,37
01Blount,219879,1368,1,160
01Conecuh,674079,2784,1,242
01Walker,416993,3024,1,137
01Lauderdale,513733,4176,1,123
01Cullman,1243740,2784,1,446
01Perry,357401,2880,1,124
01Henry,328403,2784,1,117
01Bibb,188576,2592,1,72
01Marion,294061,2592,1,113
05Arkansas,1089781,4272,5,255
05Boone,335875,2784,5,120
05Calhoun,226773,2880,5,78
05Carroll,82398,1440,5,57
05Clark,957371,2880,5,332
05Craighead,828776,4320,5,191
05Crawford,1738099,9840,5,176
05Crittenden,573292,2880,5,199
05Drew,73669,1392,5,52
05Faulkner,198640,1920,5,103
05Garland,436984,2880,5,151
05Grant,43375,1440,5,30
05Greene,79720,1152,5,69
05Hempstead,44032,912,5,48
05Hot Spring,1160931,4272,5,271
05Jefferson,776013,2880,5,269
05Johnson,811362,2880,5,281
05Lafayette,26262,1248,5,21
05Lincoln,185797,2880,5,64
05Lonoke,999330,2784,5,358
05Miller,1199085,7104,5,168
05Monroe,79964,1440,5,55
05nan,384255,2880,5,133
05Pope,39166,1440,5,27
05Pulaski,3754374,9360,5,401
05Saline,242620,1248,5,194
